,0,1
1972,"daska, sialkot, punjab, pakistan","['Daska, Sialkot, Punjab, Pakistan', 0.0, 32.3362936, 74.36751679999999]"
1973,"data gb town, lahore, punjab, pakistan","['Lahore, Punjab, Pakistan', 0.0, 31.5203696, 74.35874729999999]"
1974,"depalpur, okara, punjab, pakistan","['Depalpur, Okara, Punjab, Pakistan', 0.0, 30.6769981, 73.6477342]"
1975,"kasur, kasur, punjab, pakistan","['Kasur, Punjab, Pakistan', 0.0, 31.1178653, 74.4408385]"
1976,"kahror pacca, lodhran, punjab, pakistan","['Kahror Pakka, Lodhran, Punjab, Pakistan', 0.0, 29.6437628, 71.9164217]"
1977,"dera ghazi khan, dera ghazi khan, punjab, pakistan","['Dera Ghazi Khan, Punjab, Pakistan', 0.0, 30.0489423, 70.645473]"
1978,"dina, jhelum, punjab, pakistan","['Dina, Jhelum, Punjab, Pakistan', 0.0, 33.027927, 73.6011716]"
1979,"dunyapur, lodhran, punjab, pakistan","['Dunyapur, Lodhran, Punjab, Pakistan', 0.0, 29.8045422, 71.7405672]"
1980,"faisalabad, faisalabad, punjab, pakistan","['Faisalabad, Punjab, Pakistan', 0.0, 31.45036619999999, 73.13496049999999]"
1981,"faisalabad city, faisalabad, punjab, pakistan","['Faisalabad, Punjab, Pakistan', 0.0, 31.45036619999999, 73.13496049999999]"
1982,"faisalabad sadar, faisalabad, punjab, pakistan","['Faisalabad Saddar, Faisalabad, Punjab, Pakistan', 0.0, 31.4249914, 73.111356]"
1983,"fateh jang, attock, punjab, pakistan","['Fateh Jang, Attock, Punjab, Pakistan', 0.0, 33.5672929, 72.6505957]"
1984,"ferozewala, sheikhupura, punjab, pakistan","['Ferozewala, Sheikhupura, Punjab, Pakistan', 0.0, 31.6478908, 74.2840547]"
1985,"fortabbas, bahawalnagar, punjab, pakistan","['Fort Abbas, Bahawalnagar, Punjab, Pakistan', 0.0, 29.193053, 72.8574558]"
1986,"gojra, toba tek singh, punjab, pakistan","['Gojra, Toba Tek Singh District, Punjab, Pakistan', 0.0, 31.1504688, 72.6811507]"
1987,"gujar khan, rawalpindi, punjab, pakistan","['Gujar Khan, Rawalpindi, Punjab, Pakistan', 0.0, 33.2615676, 73.3057508]"
1988,"lalian, chiniot, punjab, pakistan","['Lalian, Punjab, Pakistan', 0.0, 31.8194071, 72.79837049999999]"
1989,"gujrat, gujrat, punjab, pakistan","['Gujrat, Punjab, Pakistan', 0.0, 32.57307249999999, 74.10050439999999]"
1990,"gulberg town, lahore, punjab, pakistan","['Gulberg III, Lahore, Punjab, Pakistan', 0.0, 31.5101892, 74.3440842]"
1991,"hafizabad, hafizabad, punjab, pakistan","['Hafizabad, Punjab, Pakistan', 0.0, 32.0711858, 73.68947179999999]"
1992,"haroonabad, bahawalnagar, punjab, pakistan","['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]"
1993,"mailsi, vehari, punjab, pakistan","['Mailsi, Vehari, Punjab, Pakistan', 0.0, 29.7921021, 72.1771541]"
1994,"hasilpur, bahawalpur, punjab, pakistan","['Hasilpur, Bahawalpur, Punjab, Pakistan', 0.0, 29.6902417, 72.5796331]"
1995,"hasan abdal, attock, punjab, pakistan","['Hassan Abdal, Attock, Punjab, Pakistan', 0.0, 33.8210214, 72.6800204]"
1996,"isakhel, mianwali, punjab, pakistan","['Isa Khel, Mianwali, Punjab, Pakistan', 0.0, 32.6749055, 71.2785119]"
1997,"jalalpur pirwala, multan, punjab, pakistan","['Jalalpur Pirwala, Multan, Punjab, Pakistan', 0.0, 29.5164597, 71.2220832]"
1998,"jampur, rajanpur, punjab, pakistan","['Jampur, Rajanpur, Punjab, Pakistan', 0.0, 29.6459464, 70.59193570000001]"
1999,"jand, attock, punjab, pakistan","['Jand, Attock, Punjab, Pakistan', 0.0, 33.4364645, 72.0171862]"
2000,"jaranwala, faisalabad, punjab, pakistan","['Jaranwala, Faisalabad, Punjab, Pakistan', 0.0, 31.3453951, 73.4298073]"
2001,"jatoi, muzaffargarh, punjab, pakistan","['Jatoi, Muzaffargarh, Punjab, Pakistan', 0.0, 29.5068582, 70.85361639999999]"
2002,"jahanian, khanewal, punjab, pakistan","['Jahanian, Khanewal, Punjab, Pakistan', 0.0, 30.0487223, 71.81562439999999]"
2003,"multan city, multan, punjab, pakistan","['Multan, Punjab, Pakistan', 0.0, 30.157458, 71.5249154]"
2004,"jhang, jhang, punjab, pakistan","['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]"
2005,"multan saddar, multan, punjab, pakistan","['Multan Saddar, Multan, Punjab, Pakistan', 0.0, 30.1712026, 71.6198686]"
2006,"jhelum, jhelum, punjab, pakistan","['Jhelum, Punjab, Pakistan', 0.0, 32.9424591, 73.7257496]"
2007,"kabirwala, khanewal, punjab, pakistan","['Kabirwala, Khanewal, Punjab, Pakistan', 0.0, 30.4010623, 71.8630625]"
2008,"murree, rawalpindi, punjab, pakistan","['Murree, Rawalpindi, Punjab, Pakistan', 0.0, 33.9069576, 73.3943017]"
2009,"kahuta, rawalpindi, punjab, pakistan","['Kahuta, Rawalpindi, Punjab, Pakistan', 0.0, 33.5896138, 73.3885526]"
2010,"kallar kahar, chakwal, punjab, pakistan","['Kallar Kahar, Chakwal, Punjab, Pakistan', 0.0, 32.7768702, 72.7067604]"
2011,"kallar sayaddan, rawalpindi, punjab, pakistan","['Tehsil Kallar Syedan, Rawalpindi, Punjab, Pakistan', 0.0, 33.4126922, 73.48872879999999]"
2012,"kalur kot, bhakkar, punjab, pakistan","['Kallur Kot Tehsil, Bhakkar, Punjab, Pakistan', 0.0, 32.0887231, 71.4299364]"
2013,"kamalia, toba tek singh, punjab, pakistan","['Kamalia, Toba Tek Singh District, Punjab, Pakistan', 0.0, 30.7221821, 72.64468289999999]"
2014,"kotli sattian, rawalpindi, punjab, pakistan","['Kotli Sattian, Rawalpindi, Punjab, Pakistan', 0.0, 33.8081622, 73.5255463]"
2015,"kamoke, gujranwala, punjab, pakistan","['Kāmoke, Gujranwala, Punjab, Pakistan', 0.0, 31.9765147, 74.2220167]"
2016,"nankana sahib, nankana sahib, punjab, pakistan","['Nankana Sahib, Punjab, Pakistan', 0.0, 31.449151, 73.712479]"
2017,"karor lal esan, leiah, punjab, pakistan","['Layyah, Punjab, Pakistan', 0.0, 30.9693492, 70.94279139999999]"
2018,"nowshera virkan, gujranwala, punjab, pakistan","['Nowshera Virkan, Gujranwala, Punjab, Pakistan', 0.0, 31.96295739999999, 73.97418739999999]"
2019,"khairpur tamewali, bahawalpur, punjab, pakistan","['Khairpur Tamewali, Bahawalpur, Punjab, Pakistan', 0.0, 29.5745263, 72.224535]"
2020,"sialkot, punjab, pakistan","['Sialkot, Punjab, Pakistan', 0.0, 32.4944991, 74.5228916]"
2021,"khanewal, khanewal, punjab, pakistan","['Khanewal, Punjab, Pakistan', 0.0, 30.286416, 71.9320259]"
2022,"khanpur, rahim yar khan, punjab, pakistan","['Khanpur, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.6331825, 70.6573694]"
2023,"kharian, gujrat, punjab, pakistan","['Kharian, Gujrat, Punjab, Pakistan', 0.0, 32.8142603, 73.8830701]"
2024,"vehari, vehari, punjab, pakistan","['Vehari, Vehari وہاڑی, Punjab, Pakistan', 0.0, 30.0441544, 72.34406849999999]"
2025,"phalia, mandi bahauddin, punjab, pakistan","['Phalia, Mandi Bahauddin, Punjab, Pakistan', 0.0, 32.4327277, 73.5770801]"
