,0,1
0,"10/ah, khanewal, lodhran, punjab, pakistan","['Street 10, Khanewal, Punjab, Pakistan', 0.0, 30.2904003, 71.9295776]"
1,"110 10 r, jahanian, khanewal, punjab, pakistan","['Chak No.110/10-R, Khanewal, Punjab, Pakistan', 0.0, 30.0541247, 71.8437916]"
2,"144 10 r, jahanian, khanewal, punjab, pakistan","['Jahanian-Khanewal, Chak 171/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2171339, 71.8798542]"
3,"157 10 r, jahanian, khanewal, punjab, pakistan","['Chak 157/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.1391625, 71.8141418]"
4,"173 10 r, jahanian, khanewal, punjab, pakistan","['Chak 173/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2006678, 71.834897]"
5,"175 10 r, jahanian, khanewal, punjab, pakistan","['Jahanian-Khanewal, Chak 171/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2171339, 71.8798542]"
6,"33, chishtian, bahawalnagar, punjab, pakistan","['Chishtian, Bahawalnagar, Punjab, Pakistan', 0.0, 29.79559739999999, 72.86336349999999]"
7,"61/25, gujranwala, gujranwala, punjab, pakistan","['Street 25, Y Block Sector Y Peoples Colony, Gujranwala, Punjab, Pakistan', 0.0, 32.1343451, 74.20979129999999]"
8,"63/27, gujranwala, gujranwala, punjab, pakistan","['Street 27, Block Aa Phase 1 Citi Housing, Gujranwala, Punjab, Pakistan', 0.0, 32.0703676, 74.19138339999999]"
9,"78, haroonabad, bahawalnagar, punjab, pakistan","['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]"
10,"79, haroonabad, bahawalnagar, punjab, pakistan","['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]"
11,"80, haroonabad, bahawalnagar, punjab, pakistan","['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]"
12,"85/49, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
13,"85/49, qila dedar singh town, gujranwala, punjab, pakistan","['Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1342879, 74.0153231]"
14,"86 chak no. 92/15l, mian channu, khanewal, punjab, pakistan","['Chak 92/15.L Mein Channun, Vehari, Punjab, Pakistan', 0.0, 30.2718205, 72.32075309999999]"
15,"87, jhang, jhang, punjab, pakistan","['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]"
16,"89/53, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
17,"90, jhang, jhang, punjab, pakistan","['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]"
18,"91/55, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
19,"91/55, qila dedar singh town, gujranwala, punjab, pakistan","['Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1342879, 74.0153231]"
20,"93/57, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
21,"93/57, aroop town, gujranwala, punjab, pakistan","['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]"
22,"97, jhang, jhang, punjab, pakistan","['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]"
23,"97/61, aroop town, gujranwala, punjab, pakistan","['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]"
24,"97/61, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
25,"99/63, aroop town, gujranwala, punjab, pakistan","['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]"
26,"99/63, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
27,"abadi ghkhowal, faisalabad city, faisalabad, punjab, pakistan","['Faisalabad City, Faisalabad, Punjab, Pakistan', 0.0, 31.33599139999999, 72.94605659999999]"
28,"abas pur, multan saddar, multan, punjab, pakistan","['Multan Saddar, Multan, Punjab, Pakistan', 0.0, 30.1712026, 71.6198686]"
29,"abbas colony, multan city, multan, punjab, pakistan","['Railway Rd, Lakkar Mandi Chowk, Hassan Parwana Colony, Multan, Punjab, Pakistan', 0.0, 30.18620689999999, 71.45774279999999]"
30,"abbas pura, multan city, multan, punjab, pakistan","['Abbas Pura Rangilpur, Multan, Punjab, Pakistan', 0.0, 30.1608484, 71.4583911]"
31,"abdulla pura, faisalabad city, faisalabad, punjab, pakistan","['Hussania Rd, Faisalabad, Punjab, Pakistan', 0.0, 31.452645, 73.0578221]"
32,"abid abad, nowshera virkan, gujranwala, punjab, pakistan","['Gdhanwala Rd, Gujranwala, Punjab, Pakistan', 0.0, 31.9359712, 73.9228747]"
33,"abid colony, multan city, multan, punjab, pakistan","['Abid St, Multan, Punjab, Pakistan', 0.0, 30.1919126, 71.4484003]"
34,"abubakar sadiq colony, lahore city, lahore, punjab, pakistan","['Sadiq Colony, Garhi Shahu, Lahore, Punjab, Pakistan', 0.0, 31.5607546, 74.3460394]"
35,"achra, samanabad town, lahore, punjab, pakistan","['Ichra, Lahore, Punjab 54000, Pakistan', 0.0, 31.53508619999999, 74.3206208]"
36,"achra, lahore city, lahore, punjab, pakistan","['Ichra, Lahore, Punjab 54000, Pakistan', 0.0, 31.53508619999999, 74.3206208]"
37,"adlana, bhawana, chiniot, punjab, pakistan","['Adlana, Jhang, Punjab, Pakistan', 0.0, 31.5827867, 72.77620990000001]"
38,"ado rai, gujranwala, gujranwala, punjab, pakistan","['Rai, Kasur, Punjab, Pakistan', 0.0, 31.3204967, 74.48260239999999]"
39,"ado rai, khiali shah pur town, gujranwala, punjab, pakistan","['Khiali Shahpura Gujranwala, Punjab, Pakistan', 0.0, 32.1198772, 74.172438]"
40,"afandi colony, rawalpindi, rawalpindi, punjab, pakistan","['Affandi Colony Sadiqabad, Rawalpindi, Punjab, Pakistan', 0.0, 33.6314721, 73.0807402]"
41,"agogi, sialkot, sialkot, punjab, pakistan","['Sialkot, Punjab, Pakistan', 0.0, 32.4944991, 74.5228916]"
42,"ahmad raza colony, mailsi, vehari, punjab, pakistan","['Ahmad Raza Colony Mailsi, Vehari, Punjab, Pakistan', 0.0, 29.8150517, 72.166048]"
43,"ahmed pur 4, ahmadpur east, bahawalpur, punjab, pakistan","['Ahmedpur - Derawar Fort Rd, Ahmedpur East, Bahawalpur, Punjab, Pakistan', 0.0, 29.1227467, 71.2680049]"
44,"ahmed pur lamma 7- g, sadiqabad, rahim yar khan, punjab, pakistan","['Ahmedpur Lamma, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.3158505, 70.0532913]"
45,"aiman abad town, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
46,"aiman abad town, khiali shah pur town, gujranwala, punjab, pakistan","['Khiali Shahpura Gujranwala, Punjab, Pakistan', 0.0, 32.1198772, 74.172438]"
47,"akbar ghanoke, kamoke, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 31.8486335, 74.10625929999999]"
48,"akhtar abad, multan city, multan, punjab, pakistan",[]
49,"alhamra, gulberg town, lahore, punjab, pakistan","['68 Mall Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan', 0.0, 31.5606026, 74.3228693]"
50,"alhamra, lahore city, lahore, punjab, pakistan","['68 Mall Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan', 0.0, 31.5606026, 74.3228693]"
51,"ali   pur syedan, bhalwal, sargodha, punjab, pakistan","['Alipur Syedan, Sargodha, Punjab, Pakistan', 0.0, 32.4678797, 72.8973302]"
52,"ali raza abad uc, allam iqbal town, lahore, punjab, pakistan","['Sector D1 Block 3 Twp Sector D 1 Township, Lahore, Punjab, Pakistan', 0.0, 31.4386422, 74.3097914]"
53,"ali raza abad uc, allama iqbal town, lahore, punjab, pakistan","['Hassanabad, Lahore, Punjab, Pakistan', 0.0, 31.4339044, 74.2334326]"
54,"allama iqbal colony, rawalpindi, rawalpindi, punjab, pakistan","['Allama Iqbal Colony Rawalpindi, Punjab 46000, Pakistan', 0.0, 33.5884147, 73.0183895]"
55,"allama iqbal colony , faisalabad city, faisalabad, punjab, pakistan","['Allama Iqbal Colony, Faisalabad, Punjab, Pakistan', 0.0, 31.3861285, 73.0803713]"
56,"allama iqbal colony block e, faisalabad city, faisalabad, punjab, pakistan","['Tech Town Block E, Faisalabad, Punjab, Pakistan', 0.0, 31.37426829999999, 73.1235274]"
57,"allama iqbal colony block w, faisalabad city, faisalabad, punjab, pakistan","['Allama Iqbal Colony, Faisalabad, Punjab, Pakistan', 0.0, 31.3861285, 73.0803713]"
58,"aman gharh, rahim yar khan, rahim yar khan, punjab, pakistan","['Aman Garh, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.3840873, 70.3673152]"
59,"amarpura, rawalpindi, rawalpindi, punjab, pakistan","['Amarpura, Street No. 10, Amirpura Mohalla, Rawalpindi, Punjab 46000, Pakistan', 0.0, 33.6212659, 73.0692533]"
60,"ameer pur saddat, kahror pacca, lodhran, punjab, pakistan","['Ameerpur Sadat, Lodhran, Punjab, Pakistan', 0.0, 29.6600993, 71.8386031]"
61,"amien abad, liaquat pur, rahim yar khan, punjab, pakistan","['Aminabad, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.939037, 70.802168]"
62,"amin park, data gb town, lahore, punjab, pakistan","['Amin Park, Lahore, Punjab, Pakistan', 0.0, 31.5854214, 74.29495419999999]"
63,"amin park, faisalabad city, faisalabad, punjab, pakistan","['Ameen Park, Faisalabad, Punjab, Pakistan', 0.0, 31.3825783, 73.1002905]"
64,"amin park, lahore city, lahore, punjab, pakistan","['Ameen Park Lahore, Punjab, Pakistan', 0.0, 31.5868119, 74.29495419999999]"
65,"amin town, faisalabad city, faisalabad, punjab, pakistan","['Amin Town, Faisalabad, Punjab, Pakistan', 0.0, 31.44243729999999, 73.1275844]"
66,"anayat pur, jalalpur pirwala, multan, punjab, pakistan","['Jalalpur Pirwala, Multan, Punjab, Pakistan', 0.0, 29.5164597, 71.2220832]"
67,"anayati, khairpur tamewali, bahawalpur, punjab, pakistan","['Khairpur Tamewali, Bahawalpur, Punjab, Pakistan', 0.0, 29.5745263, 72.224535]"
68,"andron dehli gate, lahore city, lahore, punjab, pakistan","['Inside Delhi Gate،, Akbari Mandi Walled City, Lahore, Punjab 54000, Pakistan', 0.0, 31.5821852, 74.3264356]"
69,"andron taksali gate, lahore city, lahore, punjab, pakistan","['Qadimi Shehr, Lahore, Punjab, Pakistan', 0.0, 31.5860252, 74.3075886]"
70,"andron taksali gate, ravi town, lahore, punjab, pakistan","['Shop No. 295-A, Ground Floor, Taksali Chowk, Ravi Rd, Daata Ganj Bakhsh Town, Lahore, Punjab 54000, Pakistan', 0.0, 31.5855663, 74.3066063]"
71,"androon bhaati gate uc, ravi town, lahore, punjab, pakistan","['Qadimi Shehr Kucha Faqirkhana Walled City, Lahore, Punjab 54000, Pakistan', 0.0, 31.5790041, 74.30891129999999]"
72,"androon bhatti gate uc, ravi town, lahore, punjab, pakistan","['Qadimi Shehr Kucha Faqirkhana Walled City, Lahore, Punjab 54000, Pakistan', 0.0, 31.5790041, 74.30891129999999]"
73,"androon dehli gate uc, ravi town, lahore, punjab, pakistan","['Inside Delhi Gate،, Akbari Mandi Walled City, Lahore, Punjab 54000, Pakistan', 0.0, 31.5821852, 74.3264356]"
74,"angori, murree, rawalpindi, punjab, pakistan","['Angoori, Rawalpindi, Punjab, Pakistan', 0.0, 33.79899109999999, 73.3502377]"
75,"annar kali, lahore city, lahore, punjab, pakistan","['Anarkali, Lahore, Punjab 54000, Pakistan', 0.0, 31.5713592, 74.3103546]"
76,"arain wahan, mailsi, vehari, punjab, pakistan",[]
77,"ariari, kotli sattian, rawalpindi, punjab, pakistan","['Ariari, Rawalpindi, Punjab, Pakistan', 0.0, 33.7669278, 73.4327538]"
78,"arif wala eb/147, arif wala, pakpattan, punjab, pakistan","['147 EB Rd, Chak No 46 EB Arifwala, Pakpattan, Punjab, Pakistan', 0.0, 30.35941829999999, 72.95578119999999]"
79,"arup, aroop town, gujranwala, punjab, pakistan","['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]"
80,"arup, gujranwala, gujranwala, punjab, pakistan","['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]"
81,"asghar mal scheem, rawalpindi, rawalpindi, punjab, pakistan","['Asghar Mall Scheme, Rawalpindi, Punjab, Pakistan', 0.0, 33.6299536, 73.06266389999999]"
82,"ashirkay, sheikhupura, sheikhupura, punjab, pakistan","['Sheikhupura, Punjab, Pakistan', 0.0, 31.7166617, 73.98502429999999]"
83,"ashraf colony, multan city, multan, punjab, pakistan","['Ashraf Colony, Multan, Punjab, Pakistan', 0.0, 30.2091928, 71.5097057]"
84,"ashraf pura, faisalabad city, faisalabad, punjab, pakistan","['Mansoorabad, Faisalabad, Punjab, Pakistan', 0.0, 31.4379565, 73.1140489]"
85,"athara hazari, jhang, jhang, punjab, pakistan","['Athara Hazari, Jhang, Punjab, Pakistan', 0.0, 31.1647774, 72.09718099999999]"
86,"attock cantt, attock, attock, punjab, pakistan","['Attock, Punjab, Pakistan', 0.0, 33.7659684, 72.3608754]"
87,"aurarah, kasur, kasur, punjab, pakistan","['Kasur, Punjab, Pakistan', 0.0, 31.1178653, 74.4408385]"
88,"awan chak no.39, pattoki, kasur, punjab, pakistan","['Chak No. 39 NB, Sargodha, Punjab, Pakistan', 0.0, 32.1208965, 72.70158789999999]"
89,"awan town uc, allam iqbal town, lahore, punjab, pakistan","['Karim Block Allama Iqbal Town, Lahore, Punjab, Pakistan', 0.0, 31.5041144, 74.2766899]"
90,"awan town uc, allama iqbal town, lahore, punjab, pakistan","['Karim Block Allama Iqbal Town, Lahore, Punjab, Pakistan', 0.0, 31.5041144, 74.2766899]"
91,"ayaz abad middle, multan saddar, multan, punjab, pakistan","['Multan Saddar, Multan, Punjab, Pakistan', 0.0, 30.1712026, 71.6198686]"
92,"ayub research, faisalabad city, faisalabad, punjab, pakistan","['Jhang Rd, Faisalabad, Punjab, Pakistan', 0.0, 31.4040892, 73.048723]"
93,"aziz bhatti town, lahore cantt, lahore, punjab, pakistan","['Aziz Bhatti Town, Lahore, Punjab, Pakistan', 0.0, 31.5538618, 74.4259228]"
94,"babalyana autar, kot radha kishen, kasur, punjab, pakistan","['Pattoki - Raiwind Rd, Kot Radha Kishan, Kasur, Punjab, Pakistan', 0.0, 31.159034, 74.08769900000001]"
95,"babalyana autar, kasur, kasur, punjab, pakistan","['Raiwind, Kasur, Punjab, Pakistan', 0.0, 31.2253984, 74.19754859999999]"
96,"badala, faisalabad sadar, faisalabad, punjab, pakistan","['Faisalabad Saddar, Faisalabad, Punjab, Pakistan', 0.0, 31.4249914, 73.111356]"
97,"badhala sant, multan city, multan, punjab, pakistan","['Budhla Sant Road, Multan, Punjab, Pakistan', 0.0, 30.1766348, 71.6107864]"
98,"badhala sant, multan saddar, multan, punjab, pakistan","['Budhla Sant, Multan, Punjab, Pakistan', 0.0, 30.1537922, 71.7118291]"
99,"badhar, tala gang, chakwal, punjab, pakistan","['Talagang, Chakwal, Punjab, Pakistan', 0.0, 32.917193, 72.40806049999999]"
100,"bado malhe, narowal, narowal, punjab, pakistan","['Baddomalhi, Narowal, Punjab, Pakistan', 0.0, 31.98684909999999, 74.6693186]"
101,"badoke, daska, sialkot, punjab, pakistan","['Baddoke, Sialkot, Punjab, Pakistan', 0.0, 32.4186723, 74.39759880000001]"
102,"badoke, sambrial, sialkot, punjab, pakistan","['Baddoke, Sialkot, Punjab, Pakistan', 0.0, 32.4186723, 74.39759880000001]"
103,"badorta, nowshera virkan, gujranwala, punjab, pakistan","['Badorta Rd, Nowshera Virkan, Gujranwala, Punjab 52370, Pakistan', 0.0, 31.9612634, 73.97607130000002]"
104,"badshahan, chakwal, chakwal, punjab, pakistan","['Chakwal, Punjab, Pakistan', 0.0, 32.9327882, 72.8629576]"
105,"baga sheikhan, rawalpindi, rawalpindi, punjab, pakistan","['Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan', 0.0, 33.4687736, 73.1866838]"
106,"bagh dewan, multan city, multan, punjab, pakistan","['Lodhi Colony, Multan, Punjab, Pakistan', 0.0, 30.2247608, 71.46710519999999]"
107,"baghban pura, lahore city, lahore, punjab, pakistan","['Baghbanpura, Lahore, Punjab 54000, Pakistan', 0.0, 31.5849905, 74.3748754]"
108,"baghban pura, shalimar town, lahore, punjab, pakistan","['GT Rd, Shalimar Chowk, Baghbanpura, Lahore, Punjab 54000, Pakistan', 0.0, 31.5836406, 74.38177689999999]"
109,"baghban puura 53, gujranwala, gujranwala, punjab, pakistan","['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]"
110,"baghyana kalan, pattoki, kasur, punjab, pakistan","['Baghyana Kalan, Phool Nagar, Kasur, Punjab, Pakistan', 0.0, 31.182421, 73.9976946]"
111,"bahawal pur house, lahore city, lahore, punjab, pakistan","['G.O.R. - II New Mazang, Lahore, Punjab 54000, Pakistan', 0.0, 31.5459018, 74.31255449999999]"
112,"bahawalpur cantt, bahawalpur, bahawalpur, punjab, pakistan","['Bahawalpur Cantt, Bahawalpur, Punjab, Pakistan', 0.0, 29.3703229, 71.68513349999999]"
113,"bahawalpur city 1, bahawalpur, bahawalpur, punjab, pakistan","['Street 1, Faisal Bagh Town, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.4084186, 71.68609889999999]"
114,"bahawalpur city 10, bahawalpur, bahawalpur, punjab, pakistan","['Bahawalpur Yazman Rd, Bahawalpur Cantt, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.3754635, 71.6922625]"
115,"bahawalpur city 11, bahawalpur, bahawalpur, punjab, pakistan","['Old City Bahawalpur, Bahawalpur, Punjab, Pakistan', 0.0, 29.3924304, 71.6693749]"
116,"bahawalpur city 12, bahawalpur, bahawalpur, punjab, pakistan","['12-A Younus Shaheed Rd, Model Town, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.3855555, 71.6588529]"
117,"bahawalpur city 13, bahawalpur, bahawalpur, punjab, pakistan","['13-A, Main Rd Model Town C Rd Bahawalpur, Model Town C, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.4062266, 71.6685625]"
118,"bahawalpur city 14, bahawalpur, bahawalpur, punjab, pakistan","['35 Ghaznavi Road, Model Town, Bahawalpur, Punjab, Pakistan', 0.0, 29.3935227, 71.66335169999999]"
119,"bahawalpur city 15, bahawalpur, bahawalpur, punjab, pakistan","['Stadium Road, Old City Bahawalpur, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.4027703, 71.6827608]"
120,"bahawalpur city 16, bahawalpur, bahawalpur, punjab, pakistan","['Model Town C Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.403454, 71.670617]"
121,"bahawalpur city 17, bahawalpur, bahawalpur, punjab, pakistan","['Kanjo Chowk, Near PTCL Exchange, 17 Rafi Qamar Road, Satellite Town, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.3915196, 71.71003379999999]"
122,"bahawalpur city 18, bahawalpur, bahawalpur, punjab, pakistan","['Bahawalpur, Punjab, Pakistan', 0.0, 29.35435, 71.69106599999999]"
123,"bahawalpur city 2, bahawalpur, bahawalpur, punjab, pakistan","['Street # 2, Cheema Town 2, Bahawalpur, Punjab, Pakistan', 0.0, 29.3884176, 71.64227509999999]"
124,"bahawalpur city 3, bahawalpur, bahawalpur, punjab, pakistan","['Bobby plaza Circular Rd, Bahawalpur, Punjab, 63100, Pakistan', 0.0, 29.393064, 71.682518]"
125,"bahawalpur city 4, bahawalpur, bahawalpur, punjab, pakistan","['Gulzar-e-Sadiq Road, Model Town, Bahawalpur, Punjab, Pakistan', 0.0, 29.3890663, 71.665713]"
126,"bahawalpur city 5, bahawalpur, bahawalpur, punjab, pakistan","['Stadium Road, Old City Bahawalpur, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.4027703, 71.6827608]"
127,"bahawalpur city 6, bahawalpur, bahawalpur, punjab, pakistan","['Bahawalpur Yazman Rd, Bahawalpur Cantt, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.3754635, 71.6922625]"
128,"bahawalpur city 7, bahawalpur, bahawalpur, punjab, pakistan","['Yazman Rd, Anwarabad Colony, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.387457, 71.6919182]"
129,"bahawalpur city 8, bahawalpur, bahawalpur, punjab, pakistan","['beaconhouse school system near Bahawalpur, Punjab، Pakistan', 0.0, 29.3906996, 71.6576077]"
130,"bahawalpur city 9, bahawalpur, bahawalpur, punjab, pakistan","['Bahawalpur, Punjab, Pakistan', 0.0, 29.35435, 71.69106599999999]"
131,"bahloki kalan, nowshera virkan, gujranwala, punjab, pakistan","['Nowshera Virkan, Gujranwala, Punjab, Pakistan', 0.0, 31.96295739999999, 73.97418739999999]"
132,"bahu man, sheikhupura, sheikhupura, punjab, pakistan","['Bahuman, Sheikhupura, Punjab, Pakistan', 0.0, 31.6093416, 73.9470036]"
133,"bajar, khushab, khushab, punjab, pakistan","['Home street Bijar, Khushāb, Khushab, Punjab, Pakistan', 0.0, 32.2581016, 72.048828]"
134,"bajnial, rawalpindi, rawalpindi, punjab, pakistan","['Bijnial Rd, University Town, Bijnial, Rawalpindi, Punjab, Pakistan', 0.0, 33.5731138, 72.88849689999999]"
135,"bajra gharhi, pasrur, sialkot, punjab, pakistan","['Pasrūr, Sialkot, Punjab, Pakistan', 0.0, 32.2625241, 74.6576091]"
136,"bakar mandi uc, allam iqbal town, lahore, punjab, pakistan","['Kot Kamboh, Lahore, Punjab 54000, Pakistan', 0.0, 31.5362106, 74.2685504]"
137,"bakar mandi uc, allama iqbal town, lahore, punjab, pakistan","['Kot Kamboh, Lahore, Punjab 54000, Pakistan', 0.0, 31.5362106, 74.2685504]"
138,"bakhri ahmad khan, leiah, leiah, punjab, pakistan","['Layyah, Punjab, Pakistan', 0.0, 30.9693492, 70.94279139999999]"
139,"balal park, lahore city, lahore, punjab, pakistan","['Bilal Masjid Park, Sector D2 Sector D 2 Block 1 Green Town, Lahore, Punjab, Pakistan', 0.0, 31.4330027, 74.303045]"
140,"balgan, pasrur, sialkot, punjab, pakistan","['Balagan, Sialkot, Punjab, Pakistan', 0.0, 32.2794457, 74.6993207]"
141,"balgan, pasrur, narowal, punjab, pakistan","['Balgan, Sialkot, Punjab, Pakistan', 0.0, 32.4254617, 74.33675219999999]"
142,"bali wala, multan saddar, multan, punjab, pakistan","['Lal Kurti Iqbal Town (Lal Kurti), Multan, Punjab, Pakistan', 0.0, 30.1893487, 71.4404718]"
143,"ballagan, sambrial, sialkot, punjab, pakistan","['Ballagan, Sialkot, Punjab, Pakistan', 0.0, 32.4254617, 74.33675219999999]"
144,"baloki, lahore cantt, lahore, punjab, pakistan","['Lahore Cantt, Lahore, Punjab, Pakistan', 0.0, 31.53204, 74.4525627]"
145,"baloki, lahore city, lahore, punjab, pakistan","['Balloki, Kasur, Punjab, Pakistan', 0.0, 31.189725, 73.8801301]"
146,"baloksar, chakwal, chakwal, punjab, pakistan","['Balkasar, Chakwal, Punjab, Pakistan', 0.0, 32.93794860000001, 72.6476393]"
147,"ban, murree, rawalpindi, punjab, pakistan","['Murree, Rawalpindi, Punjab, Pakistan', 0.0, 33.9069576, 73.3943017]"
148,"banda, rawalpindi, rawalpindi, punjab, pakistan","['Rawalpindi, Punjab, Pakistan', 0.0, 33.5305251, 73.0042091]"
149,"bangali, lahore city, lahore, punjab, pakistan",[]
150,"bangash colony, rawalpindi, rawalpindi, punjab, pakistan","['Pirwadhai, Rawalpindi, Punjab, Pakistan', 0.0, 33.6343246, 73.0389122]"
151,"bangla sherien, rahim yar khan, rahim yar khan, punjab, pakistan","['Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.4211565, 70.2988744]"
152,"bankey cheema, wazirabad, gujranwala, punjab, pakistan","['Banke Cheema, Gujranwala, Punjab, Pakistan', 0.0, 32.2890244, 74.090226]"
153,"banni, rawalpindi, rawalpindi, punjab, pakistan","['Banni, Rawalpindi, Punjab 46000, Pakistan', 0.0, 33.6210452, 73.0645085]"
154,"banwala, ahmadpur east, bahawalpur, punjab, pakistan","['Ahmedpur East, Bahawalpur, Punjab, Pakistan', 0.0, 29.1459, 71.2517835]"
155,"baoowala, faisalabad city, faisalabad, punjab, pakistan","['Baoo Wala Park View CHS, Lahore, Punjab, Pakistan', 0.0, 31.5294347, 74.4371745]"
156,"baran, shakargarh, narowal, punjab, pakistan","['Baran, Narowal, Punjab, Pakistan', 0.0, 32.3540602, 75.1705897]"
157,"barasajwar khan, bahawalnagar, bahawalnagar, punjab, pakistan","['Bahawalnagar District, Bahawalnagar, Punjab, Pakistan', 0.0, 30.0024888, 73.2411506]"
158,"bariat (chak bawa), depalpur, okara, punjab, pakistan","['Chak Bawa, Okara, Punjab, Pakistan', 0.0, 30.4370898, 73.7029158]"
159,"barila sharif, gujrat, gujrat, punjab, pakistan","['Barilla Sharif, Gujrat, Punjab, Pakistan', 0.0, 32.7507408, 74.39100189999999]"
160,"barj atari, ferozewala, sheikhupura, punjab, pakistan","['Burj Attari, Sheikhupura, Punjab, Pakistan', 0.0, 31.5731184, 74.1956998]"
161,"barkat pura, faisalabad city, faisalabad, punjab, pakistan","['Barkat Pura Waris Pura, Faisalabad, Punjab, Pakistan', 0.0, 31.3795961, 73.08848669999999]"
162,"baro, gujrat, gujrat, punjab, pakistan","['Mall of Gujrat, Opp. Science College, G.T Road, Gujrat 50700, Allah Loke Colony, Gujrat, Punjab 50700, Pakistan', 0.0, 32.5763844, 74.0653224]"
163,"barthi taman bazdar, d.g khan (tribal area), dera ghazi khan, punjab, pakistan","['Barthi, Dera Ghazi Khan, Punjab, Pakistan', 0.0, 30.552308, 70.3648974]"
164,"basali, rawalpindi, rawalpindi, punjab, pakistan","['Bassali, Rawalpindi, Punjab, Pakistan', 0.0, 33.39627420000001, 73.1371733]"
165,"bashandot, kallar sayaddan, rawalpindi, punjab, pakistan","['Tehsil Kallar Syedan, Rawalpindi, Punjab, Pakistan', 0.0, 33.4126922, 73.48872879999999]"
166,"basir pur 1, depalpur, okara, punjab, pakistan","['Basīrpur, Okara, Punjab, Pakistan', 0.0, 30.5779666, 73.8360251]"
167,"basir pur 2, depalpur, okara, punjab, pakistan","['Basīrpur, Okara, Punjab, Pakistan', 0.0, 30.5779666, 73.8360251]"
168,"basti randan, jampur, rajanpur, punjab, pakistan","['Jampur, Rajanpur, Punjab, Pakistan', 0.0, 29.6459464, 70.59193570000001]"
169,"batail ganj, pakpattan, pakpattan, punjab, pakistan","['Pākpattan, Pakpattan, Punjab, Pakistan', 0.0, 30.3572898, 73.38265849999999]"
170,"batala colony, faisalabad city, faisalabad, punjab, pakistan","['Batala Colony Faisalabad, Punjab, Pakistan', 0.0, 31.4004164, 73.103979]"
171,"bawa chak, faisalabad city, faisalabad, punjab, pakistan","['Bawa Chack 120 JB, Faisalabad, Punjab, Pakistan', 0.0, 31.4776449, 73.0803713]"
172,"bazaid pur, kasur, kasur, punjab, pakistan","['Bazidpur, Kasur, Punjab, Pakistan', 0.0, 31.01405029999999, 74.4716129]"
173,"begowala, sambrial, sialkot, punjab, pakistan","['Begowala, Sialkot, Punjab, Pakistan', 0.0, 32.4373933, 74.2678169]"
