UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape
khan ghar, muzaffargarh, muzaffargarh,,"['Khangarh, Muzaffargarh, Punjab, Pakistan', 0.0, 29.9141873, 71.15673439999999]",umarpur janubi,muzaffargarh,muzaffargarh
khan model colony, faisalabad city, faisalabad,,"['Model Colony Clock Tower, Faisalabad, Punjab, Pakistan', 0.0, 31.4199441, 73.08173430000001]",faisalabad c,faisalabad city,faisalabad
khan muhammad wala, bhalwal, sargodha,,"['Khan Muhammad Wala, Sargodha, Punjab, Pakistan', 0.0, 32.4102642, 72.9076669]",fateh garh,bhalwal,sargodha
khan pur-c, khanpur, rahim yar khan,,"['Khanpur, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.6331825, 70.6573694]",neel garh,khanpur,rahim yar khan
khan pur-d, khanpur, rahim yar khan,,"['Khanpur, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.6331825, 70.6573694]",neel garh,khanpur,rahim yar khan
khan pur-e, khanpur, rahim yar khan,,"['Khanpur, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.6331825, 70.6573694]",neel garh,khanpur,rahim yar khan
khana dak, rawalpindi, rawalpindi,,"['Lehtrar Road, Shakrial, Rawalpindi, Punjab 44000, Pakistan', 0.0, 33.6302786, 73.1085555]",None,rawalpindi tehsil,rawalpindi
khanewal kehna, khanewal, khanewal,,"['Khanewal, Punjab, Pakistan', 0.0, 30.286416, 71.9320259]",khanewal - 2,khanewal,khanewal
khankan inayat shah, multan city, multan,,[],Not Found,Not Found,Not Found
khanke mor, pattoki, kasur,,"['Pattoki, Kasur, Punjab, Pakistan', 0.0, 31.0249373, 73.8479128]",chak 13,chunian,kasur
khankha dogran, safdarabad, sheikhupura,,"['Khanqah Dogran, Sheikhupura, Punjab, Pakistan', 0.0, 31.82994889999999, 73.6124102]",chinne,safdarabad,sheikhupura
khanwah gahlwan, lodhran, lodhran,,"['Khanqah, Sheikhupura, Punjab, Pakistan', 0.0, 31.80228769999999, 74.02854339999999]",mirza virkan,sheikhupura,sheikhupura
