UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape
10/ah, khanewal, lodhran,,"['Street 10, Khanewal, Punjab, Pakistan', 0.0, 30.2904003, 71.9295776]",khanewal - 2,khanewal,khanewal
110 10 r, jahanian, khanewal,,"['Chak No.110/10-R, Khanewal, Punjab, Pakistan', 0.0, 30.0541247, 71.8437916]",rahim shah,jehanian,khanewal
144 10 r, jahanian, khanewal,,"['Jahanian-Khanewal, Chak 171/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2171339, 71.8798542]",70/10-r,khanewal,khanewal
157 10 r, jahanian, khanewal,,"['Chak 157/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.1391625, 71.8141418]",157/10-r,jehanian,khanewal
173 10 r, jahanian, khanewal,,"['Chak 173/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2006678, 71.834897]",70/10-r,khanewal,khanewal
175 10 r, jahanian, khanewal,,"['Jahanian-Khanewal, Chak 171/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2171339, 71.8798542]",70/10-r,khanewal,khanewal
33, chishtian, bahawalnagar,,"['Chishtian, Bahawalnagar, Punjab, Pakistan', 0.0, 29.79559739999999, 72.86336349999999]",chishtian ci,chishtian,bahawalnagar
61/25, gujranwala, gujranwala,,"['Street 25, Y Block Sector Y Peoples Colony, Gujranwala, Punjab, Pakistan', 0.0, 32.1343451, 74.20979129999999]",gujranwala c,gujranwala city,gujranwala
63/27, gujranwala, gujranwala,,"['Street 27, Block Aa Phase 1 Citi Housing, Gujranwala, Punjab, Pakistan', 0.0, 32.0703676, 74.19138339999999]",attawa,gujranwala saddar,gujranwala
78, haroonabad, bahawalnagar,,"['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]",chak no. 15/,haroonabad,bahawalnagar
79, haroonabad, bahawalnagar,,"['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]",chak no. 15/,haroonabad,bahawalnagar
80, haroonabad, bahawalnagar,,"['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]",chak no. 15/,haroonabad,bahawalnagar
85/49, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
85/49, qila dedar singh town, gujranwala,,"['Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1342879, 74.0153231]",qila didar s,gujranwala saddar,gujranwala
86 chak no. 92/15l, mian channu, khanewal,,"['Chak 92/15.L Mein Channun, Vehari, Punjab, Pakistan', 0.0, 30.2718205, 72.32075309999999]",126/15-l,mian channu,khanewal
87, jhang, jhang,,"['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]",civil station,jhang,jhang
89/53, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
90, jhang, jhang,,"['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]",civil station,jhang,jhang
91/55, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
91/55, qila dedar singh town, gujranwala,,"['Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1342879, 74.0153231]",qila didar s,gujranwala saddar,gujranwala
93/57, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
93/57, aroop town, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala
97, jhang, jhang,,"['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]",civil station,jhang,jhang
97/61, aroop town, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala
97/61, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
99/63, aroop town, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala
99/63, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
abadi ghkhowal, faisalabad city, faisalabad,,"['Faisalabad City, Faisalabad, Punjab, Pakistan', 0.0, 31.33599139999999, 72.94605659999999]",chak no. 78/,faisalabad saddar,faisalabad
abas pur, multan saddar, multan,,"['Multan Saddar, Multan, Punjab, Pakistan', 0.0, 30.1712026, 71.6198686]",kothiwala,multan saddar,multan
abbas colony, multan city, multan,,"['Railway Rd, Lakkar Mandi Chowk, Hassan Parwana Colony, Multan, Punjab, Pakistan', 0.0, 30.18620689999999, 71.45774279999999]",unknown_1,multan city,multan
abbas pura, multan city, multan,,"['Abbas Pura Rangilpur, Multan, Punjab, Pakistan', 0.0, 30.1608484, 71.4583911]",rangeel pur,multan city,multan
abdulla pura, faisalabad city, faisalabad,,"['Hussania Rd, Faisalabad, Punjab, Pakistan', 0.0, 31.452645, 73.0578221]",chak no. 195,faisalabad saddar,faisalabad
abid abad, nowshera virkan, gujranwala,,"['Gdhanwala Rd, Gujranwala, Punjab, Pakistan', 0.0, 31.9359712, 73.9228747]",randir,naushera virkan,gujranwala
abid colony, multan city, multan,,"['Abid St, Multan, Punjab, Pakistan', 0.0, 30.1919126, 71.4484003]",rangeel pur,multan city,multan
abubakar sadiq colony, lahore city, lahore,,"['Sadiq Colony, Garhi Shahu, Lahore, Punjab, Pakistan', 0.0, 31.5607546, 74.3460394]",zaman park,lahore,lahore
achra, samanabad town, lahore,,"['Ichra, Lahore, Punjab 54000, Pakistan', 0.0, 31.53508619999999, 74.3206208]",rehman pura,lahore,lahore
achra, lahore city, lahore,,"['Ichra, Lahore, Punjab 54000, Pakistan', 0.0, 31.53508619999999, 74.3206208]",rehman pura,lahore,lahore
adlana, bhawana, chiniot,,"['Adlana, Jhang, Punjab, Pakistan', 0.0, 31.5827867, 72.77620990000001]",sumandar,bhawana,chiniot
ado rai, gujranwala, gujranwala,,"['Rai, Kasur, Punjab, Pakistan', 0.0, 31.3204967, 74.48260239999999]",daftoha,kasur,kasur
ado rai, khiali shah pur town, gujranwala,,"['Khiali Shahpura Gujranwala, Punjab, Pakistan', 0.0, 32.1198772, 74.172438]",talwandi rah,gujranwala saddar,gujranwala
afandi colony, rawalpindi, rawalpindi,,"['Affandi Colony Sadiqabad, Rawalpindi, Punjab, Pakistan', 0.0, 33.6314721, 73.0807402]",None,rawalpindi tehsil,rawalpindi
agogi, sialkot, sialkot,,"['Sialkot, Punjab, Pakistan', 0.0, 32.4944991, 74.5228916]",hundal,sialkot,sialkot
ahmad raza colony, mailsi, vehari,,"['Ahmad Raza Colony Mailsi, Vehari, Punjab, Pakistan', 0.0, 29.8150517, 72.166048]",muhammad sha,mailsi,vehari
ahmed pur 4, ahmadpur east, bahawalpur,,"['Ahmedpur - Derawar Fort Rd, Ahmedpur East, Bahawalpur, Punjab, Pakistan', 0.0, 29.1227467, 71.2680049]",mehrabwala,ahmadpur east,bahawalpur
ahmed pur lamma 7- g, sadiqabad, rahim yar khan,,"['Ahmedpur Lamma, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.3158505, 70.0532913]",ahmad pur lamma,sadiqabad,rahim yar khan
aiman abad town, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
aiman abad town, khiali shah pur town, gujranwala,,"['Khiali Shahpura Gujranwala, Punjab, Pakistan', 0.0, 32.1198772, 74.172438]",talwandi rah,gujranwala saddar,gujranwala
akbar ghanoke, kamoke, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 31.8486335, 74.10625929999999]",ghanoke akbi,kamoke,gujranwala
akhtar abad, multan city, multan,,[],Not Found,Not Found,Not Found
alhamra, gulberg town, lahore,,"['68 Mall Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan', 0.0, 31.5606026, 74.3228693]",race course,lahore,lahore
alhamra, lahore city, lahore,,"['68 Mall Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan', 0.0, 31.5606026, 74.3228693]",race course,lahore,lahore
ali   pur syedan, bhalwal, sargodha,,"['Alipur Syedan, Sargodha, Punjab, Pakistan', 0.0, 32.4678797, 72.8973302]",hazur pur,bhalwal,sargodha
ali raza abad uc, allam iqbal town, lahore,,"['Sector D1 Block 3 Twp Sector D 1 Township, Lahore, Punjab, Pakistan', 0.0, 31.4386422, 74.3097914]",keer kalan,lahore,lahore
ali raza abad uc, allama iqbal town, lahore,,"['Hassanabad, Lahore, Punjab, Pakistan', 0.0, 31.4339044, 74.2334326]",ali raza abad,lahore,lahore
allama iqbal colony, rawalpindi, rawalpindi,,"['Allama Iqbal Colony Rawalpindi, Punjab 46000, Pakistan', 0.0, 33.5884147, 73.0183895]",None,rawalpindi tehsil,rawalpindi
allama iqbal colony , faisalabad city, faisalabad,,"['Allama Iqbal Colony, Faisalabad, Punjab, Pakistan', 0.0, 31.3861285, 73.0803713]",faisalabad c,faisalabad city,faisalabad
allama iqbal colony block e, faisalabad city, faisalabad,,"['Tech Town Block E, Faisalabad, Punjab, Pakistan', 0.0, 31.37426829999999, 73.1235274]",faisalabad c,faisalabad city,faisalabad
allama iqbal colony block w, faisalabad city, faisalabad,,"['Allama Iqbal Colony, Faisalabad, Punjab, Pakistan', 0.0, 31.3861285, 73.0803713]",faisalabad c,faisalabad city,faisalabad
aman gharh, rahim yar khan, rahim yar khan,,"['Aman Garh, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.3840873, 70.3673152]",chak no 84/p,rahim yar khan,rahim yar khan
amarpura, rawalpindi, rawalpindi,,"['Amarpura, Street No. 10, Amirpura Mohalla, Rawalpindi, Punjab 46000, Pakistan', 0.0, 33.6212659, 73.0692533]",waris khan,rawalpindi tehsil,rawalpindi
ameer pur saddat, kahror pacca, lodhran,,"['Ameerpur Sadat, Lodhran, Punjab, Pakistan', 0.0, 29.6600993, 71.8386031]",bahawal garh,kehror pacca,lodhran
amien abad, liaquat pur, rahim yar khan,,"['Aminabad, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.939037, 70.802168]",nala musani,liaquat pur,rahim yar khan
amin park, data gb town, lahore,,"['Amin Park, Lahore, Punjab, Pakistan', 0.0, 31.5854214, 74.29495419999999]",ganj kalan,lahore,lahore
amin park, faisalabad city, faisalabad,,"['Ameen Park, Faisalabad, Punjab, Pakistan', 0.0, 31.3825783, 73.1002905]",faisalabad c,faisalabad city,faisalabad
amin park, lahore city, lahore,,"['Ameen Park Lahore, Punjab, Pakistan', 0.0, 31.5868119, 74.29495419999999]",ganj kalan,lahore,lahore
amin town, faisalabad city, faisalabad,,"['Amin Town, Faisalabad, Punjab, Pakistan', 0.0, 31.44243729999999, 73.1275844]",chak no. 202,faisalabad saddar,faisalabad
anayat pur, jalalpur pirwala, multan,,"['Jalalpur Pirwala, Multan, Punjab, Pakistan', 0.0, 29.5164597, 71.2220832]",darab pur,jalalpur pirwala,multan
anayati, khairpur tamewali, bahawalpur,,"['Khairpur Tamewali, Bahawalpur, Punjab, Pakistan', 0.0, 29.5745263, 72.224535]",bheli,khairpur tamewali,bahawalpur
andron dehli gate, lahore city, lahore,,"['Inside Delhi Gate،, Akbari Mandi Walled City, Lahore, Punjab 54000, Pakistan', 0.0, 31.5821852, 74.3264356]",sare sultan,lahore,lahore
andron taksali gate, lahore city, lahore,,"['Qadimi Shehr, Lahore, Punjab, Pakistan', 0.0, 31.5860252, 74.3075886]",bilal ganj,lahore,lahore
andron taksali gate, ravi town, lahore,,"['Shop No. 295-A, Ground Floor, Taksali Chowk, Ravi Rd, Daata Ganj Bakhsh Town, Lahore, Punjab 54000, Pakistan', 0.0, 31.5855663, 74.3066063]",bilal ganj,lahore,lahore
androon bhaati gate uc, ravi town, lahore,,"['Qadimi Shehr Kucha Faqirkhana Walled City, Lahore, Punjab 54000, Pakistan', 0.0, 31.5790041, 74.30891129999999]",anarkali,lahore,lahore
androon bhatti gate uc, ravi town, lahore,,"['Qadimi Shehr Kucha Faqirkhana Walled City, Lahore, Punjab 54000, Pakistan', 0.0, 31.5790041, 74.30891129999999]",anarkali,lahore,lahore
androon dehli gate uc, ravi town, lahore,,"['Inside Delhi Gate،, Akbari Mandi Walled City, Lahore, Punjab 54000, Pakistan', 0.0, 31.5821852, 74.3264356]",sare sultan,lahore,lahore
angori, murree, rawalpindi,,"['Angoori, Rawalpindi, Punjab, Pakistan', 0.0, 33.79899109999999, 73.3502377]",None,murree tehsil,rawalpindi
annar kali, lahore city, lahore,,"['Anarkali, Lahore, Punjab 54000, Pakistan', 0.0, 31.5713592, 74.3103546]",anarkali,lahore,lahore
arain wahan, mailsi, vehari,,[],Not Found,Not Found,Not Found
ariari, kotli sattian, rawalpindi,,"['Ariari, Rawalpindi, Punjab, Pakistan', 0.0, 33.7669278, 73.4327538]",None,kotli sattian tehsil,rawalpindi
arif wala eb/147, arif wala, pakpattan,,"['147 EB Rd, Chak No 46 EB Arifwala, Pakpattan, Punjab, Pakistan', 0.0, 30.35941829999999, 72.95578119999999]",66/eb,arifwala,pakpattan
arup, aroop town, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala
arup, gujranwala, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala
asghar mal scheem, rawalpindi, rawalpindi,,"['Asghar Mall Scheme, Rawalpindi, Punjab, Pakistan', 0.0, 33.6299536, 73.06266389999999]",None,rawalpindi tehsil,rawalpindi
ashirkay, sheikhupura, sheikhupura,,"['Sheikhupura, Punjab, Pakistan', 0.0, 31.7166617, 73.98502429999999]",sheikhupura,sheikhupura,sheikhupura
ashraf colony, multan city, multan,,"['Ashraf Colony, Multan, Punjab, Pakistan', 0.0, 30.2091928, 71.5097057]",taraf mubarik doim,multan city,multan
ashraf pura, faisalabad city, faisalabad,,"['Mansoorabad, Faisalabad, Punjab, Pakistan', 0.0, 31.4379565, 73.1140489]",chak no. 197,faisalabad saddar,faisalabad
athara hazari, jhang, jhang,,"['Athara Hazari, Jhang, Punjab, Pakistan', 0.0, 31.1647774, 72.09718099999999]",rashidpur,jhang,jhang
attock cantt, attock, attock,,"['Attock, Punjab, Pakistan', 0.0, 33.7659684, 72.3608754]",akhori,attock,attock
aurarah, kasur, kasur,,"['Kasur, Punjab, Pakistan', 0.0, 31.1178653, 74.4408385]",maan,kasur,kasur
awan chak no.39, pattoki, kasur,,"['Chak No. 39 NB, Sargodha, Punjab, Pakistan', 0.0, 32.1208965, 72.70158789999999]",mari,sargodha,sargodha
awan town uc, allam iqbal town, lahore,,"['Karim Block Allama Iqbal Town, Lahore, Punjab, Pakistan', 0.0, 31.5041144, 74.2766899]",sikandar block,lahore,lahore
awan town uc, allama iqbal town, lahore,,"['Karim Block Allama Iqbal Town, Lahore, Punjab, Pakistan', 0.0, 31.5041144, 74.2766899]",sikandar block,lahore,lahore
ayaz abad middle, multan saddar, multan,,"['Multan Saddar, Multan, Punjab, Pakistan', 0.0, 30.1712026, 71.6198686]",kothiwala,multan saddar,multan
ayub research, faisalabad city, faisalabad,,"['Jhang Rd, Faisalabad, Punjab, Pakistan', 0.0, 31.4040892, 73.048723]",faisalabad c,faisalabad city,faisalabad
aziz bhatti town, lahore cantt, lahore,,"['Aziz Bhatti Town, Lahore, Punjab, Pakistan', 0.0, 31.5538618, 74.4259228]",guldasht colony,lahore,lahore
babalyana autar, kot radha kishen, kasur,,"['Pattoki - Raiwind Rd, Kot Radha Kishan, Kasur, Punjab, Pakistan', 0.0, 31.159034, 74.08769900000001]",zafar kay,kasur,kasur
babalyana autar, kasur, kasur,,"['Raiwind, Kasur, Punjab, Pakistan', 0.0, 31.2253984, 74.19754859999999]",beron raja j,kasur,kasur
badala, faisalabad sadar, faisalabad,,"['Faisalabad Saddar, Faisalabad, Punjab, Pakistan', 0.0, 31.4249914, 73.111356]",faisalabad c,faisalabad city,faisalabad
badhala sant, multan city, multan,,"['Budhla Sant Road, Multan, Punjab, Pakistan', 0.0, 30.1766348, 71.6107864]",kothiwala,multan saddar,multan
badhala sant, multan saddar, multan,,"['Budhla Sant, Multan, Punjab, Pakistan', 0.0, 30.1537922, 71.7118291]",multani wala,multan saddar,multan
badhar, tala gang, chakwal,,"['Talagang, Chakwal, Punjab, Pakistan', 0.0, 32.917193, 72.40806049999999]",talagang cit,talagang,chakwal
bado malhe, narowal, narowal,,"['Baddomalhi, Narowal, Punjab, Pakistan', 0.0, 31.98684909999999, 74.6693186]",bhenian,narowal,narowal
badoke, daska, sialkot,,"['Baddoke, Sialkot, Punjab, Pakistan', 0.0, 32.4186723, 74.39759880000001]",daska - 2,daska,sialkot
badoke, sambrial, sialkot,,"['Baddoke, Sialkot, Punjab, Pakistan', 0.0, 32.4186723, 74.39759880000001]",daska - 2,daska,sialkot
badorta, nowshera virkan, gujranwala,,"['Badorta Rd, Nowshera Virkan, Gujranwala, Punjab 52370, Pakistan', 0.0, 31.9612634, 73.97607130000002]",kartar pur m,naushera virkan,gujranwala
badshahan, chakwal, chakwal,,"['Chakwal, Punjab, Pakistan', 0.0, 32.9327882, 72.8629576]",dab,chakwal,chakwal
baga sheikhan, rawalpindi, rawalpindi,,"['Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan', 0.0, 33.4687736, 73.1866838]",None,rawalpindi tehsil,rawalpindi
bagh dewan, multan city, multan,,"['Lodhi Colony, Multan, Punjab, Pakistan', 0.0, 30.2247608, 71.46710519999999]",neelkot,multan city,multan
baghban pura, lahore city, lahore,,"['Baghbanpura, Lahore, Punjab 54000, Pakistan', 0.0, 31.5849905, 74.3748754]",crown park,lahore,lahore
baghban pura, shalimar town, lahore,,"['GT Rd, Shalimar Chowk, Baghbanpura, Lahore, Punjab 54000, Pakistan', 0.0, 31.5836406, 74.38177689999999]",angori bagh,lahore,lahore
baghban puura 53, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
baghyana kalan, pattoki, kasur,,"['Baghyana Kalan, Phool Nagar, Kasur, Punjab, Pakistan', 0.0, 31.182421, 73.9976946]",bhaghana kal,pattoki,kasur
bahawal pur house, lahore city, lahore,,"['G.O.R. - II New Mazang, Lahore, Punjab 54000, Pakistan', 0.0, 31.5459018, 74.31255449999999]",samanabad,lahore,lahore
bahawalpur cantt, bahawalpur, bahawalpur,,"['Bahawalpur Cantt, Bahawalpur, Punjab, Pakistan', 0.0, 29.3703229, 71.68513349999999]",chak no 012/bc,bahawalpur,bahawalpur
bahawalpur city 1, bahawalpur, bahawalpur,,"['Street 1, Faisal Bagh Town, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.4084186, 71.68609889999999]",khanu wali,bahawalpur,bahawalpur
bahawalpur city 10, bahawalpur, bahawalpur,,"['Bahawalpur Yazman Rd, Bahawalpur Cantt, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.3754635, 71.6922625]",chak no 012/bc,bahawalpur,bahawalpur
bahawalpur city 11, bahawalpur, bahawalpur,,"['Old City Bahawalpur, Bahawalpur, Punjab, Pakistan', 0.0, 29.3924304, 71.6693749]",raman,bahawalpur,bahawalpur
bahawalpur city 12, bahawalpur, bahawalpur,,"['12-A Younus Shaheed Rd, Model Town, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.3855555, 71.6588529]",raman,bahawalpur,bahawalpur
bahawalpur city 13, bahawalpur, bahawalpur,,"['13-A, Main Rd Model Town C Rd Bahawalpur, Model Town C, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.4062266, 71.6685625]",khanu wali,bahawalpur,bahawalpur
bahawalpur city 14, bahawalpur, bahawalpur,,"['35 Ghaznavi Road, Model Town, Bahawalpur, Punjab, Pakistan', 0.0, 29.3935227, 71.66335169999999]",raman,bahawalpur,bahawalpur
bahawalpur city 15, bahawalpur, bahawalpur,,"['Stadium Road, Old City Bahawalpur, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.4027703, 71.6827608]",khanu wali,bahawalpur,bahawalpur
bahawalpur city 16, bahawalpur, bahawalpur,,"['Model Town C Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.403454, 71.670617]",khanu wali,bahawalpur,bahawalpur
bahawalpur city 17, bahawalpur, bahawalpur,,"['Kanjo Chowk, Near PTCL Exchange, 17 Rafi Qamar Road, Satellite Town, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.3915196, 71.71003379999999]",chak no 012/bc,bahawalpur,bahawalpur
bahawalpur city 18, bahawalpur, bahawalpur,,"['Bahawalpur, Punjab, Pakistan', 0.0, 29.35435, 71.69106599999999]",chak no 012/bc,bahawalpur,bahawalpur
bahawalpur city 2, bahawalpur, bahawalpur,,"['Street # 2, Cheema Town 2, Bahawalpur, Punjab, Pakistan', 0.0, 29.3884176, 71.64227509999999]",raman,bahawalpur,bahawalpur
bahawalpur city 3, bahawalpur, bahawalpur,,"['Bobby plaza Circular Rd, Bahawalpur, Punjab, 63100, Pakistan', 0.0, 29.393064, 71.682518]",raman,bahawalpur,bahawalpur
bahawalpur city 4, bahawalpur, bahawalpur,,"['Gulzar-e-Sadiq Road, Model Town, Bahawalpur, Punjab, Pakistan', 0.0, 29.3890663, 71.665713]",raman,bahawalpur,bahawalpur
bahawalpur city 5, bahawalpur, bahawalpur,,"['Stadium Road, Old City Bahawalpur, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.4027703, 71.6827608]",khanu wali,bahawalpur,bahawalpur
bahawalpur city 6, bahawalpur, bahawalpur,,"['Bahawalpur Yazman Rd, Bahawalpur Cantt, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.3754635, 71.6922625]",chak no 012/bc,bahawalpur,bahawalpur
bahawalpur city 7, bahawalpur, bahawalpur,,"['Yazman Rd, Anwarabad Colony, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.387457, 71.6919182]",raman,bahawalpur,bahawalpur
bahawalpur city 8, bahawalpur, bahawalpur,,"['beaconhouse school system near Bahawalpur, Punjab، Pakistan', 0.0, 29.3906996, 71.6576077]",raman,bahawalpur,bahawalpur
bahawalpur city 9, bahawalpur, bahawalpur,,"['Bahawalpur, Punjab, Pakistan', 0.0, 29.35435, 71.69106599999999]",chak no 012/bc,bahawalpur,bahawalpur
bahloki kalan, nowshera virkan, gujranwala,,"['Nowshera Virkan, Gujranwala, Punjab, Pakistan', 0.0, 31.96295739999999, 73.97418739999999]",kartar pur m,naushera virkan,gujranwala
bahu man, sheikhupura, sheikhupura,,"['Bahuman, Sheikhupura, Punjab, Pakistan', 0.0, 31.6093416, 73.9470036]",baharianwala,sheikhupura,sheikhupura
bajar, khushab, khushab,,"['Home street Bijar, Khushāb, Khushab, Punjab, Pakistan', 0.0, 32.2581016, 72.048828]",bijjar,quaidabad,khushab
bajnial, rawalpindi, rawalpindi,,"['Bijnial Rd, University Town, Bijnial, Rawalpindi, Punjab, Pakistan', 0.0, 33.5731138, 72.88849689999999]",None,rawalpindi tehsil,rawalpindi
bajra gharhi, pasrur, sialkot,,"['Pasrūr, Sialkot, Punjab, Pakistan', 0.0, 32.2625241, 74.6576091]",pasroor - 2,pasrur,sialkot
bakar mandi uc, allam iqbal town, lahore,,"['Kot Kamboh, Lahore, Punjab 54000, Pakistan', 0.0, 31.5362106, 74.2685504]",bakar mandi,lahore,lahore
bakar mandi uc, allama iqbal town, lahore,,"['Kot Kamboh, Lahore, Punjab 54000, Pakistan', 0.0, 31.5362106, 74.2685504]",bakar mandi,lahore,lahore
bakhri ahmad khan, leiah, leiah,,"['Layyah, Punjab, Pakistan', 0.0, 30.9693492, 70.94279139999999]",kotla haji shah,layyah,layyah
balal park, lahore city, lahore,,"['Bilal Masjid Park, Sector D2 Sector D 2 Block 1 Green Town, Lahore, Punjab, Pakistan', 0.0, 31.4330027, 74.303045]",chandrai,lahore,lahore
balgan, pasrur, sialkot,,"['Balagan, Sialkot, Punjab, Pakistan', 0.0, 32.2794457, 74.6993207]",pasroor - 1,pasrur,sialkot
balgan, pasrur, narowal,,"['Balgan, Sialkot, Punjab, Pakistan', 0.0, 32.4254617, 74.33675219999999]",adamke cheem,daska,sialkot
bali wala, multan saddar, multan,,"['Lal Kurti Iqbal Town (Lal Kurti), Multan, Punjab, Pakistan', 0.0, 30.1893487, 71.4404718]",rangeel pur,multan city,multan
ballagan, sambrial, sialkot,,"['Ballagan, Sialkot, Punjab, Pakistan', 0.0, 32.4254617, 74.33675219999999]",adamke cheem,daska,sialkot
baloki, lahore cantt, lahore,,"['Lahore Cantt, Lahore, Punjab, Pakistan', 0.0, 31.53204, 74.4525627]",bhangali,lahore,lahore
baloki, lahore city, lahore,,"['Balloki, Kasur, Punjab, Pakistan', 0.0, 31.189725, 73.8801301]",phool nagar,pattoki,kasur
baloksar, chakwal, chakwal,,"['Balkasar, Chakwal, Punjab, Pakistan', 0.0, 32.93794860000001, 72.6476393]",balkassar,chakwal,chakwal
ban, murree, rawalpindi,,"['Murree, Rawalpindi, Punjab, Pakistan', 0.0, 33.9069576, 73.3943017]",None,murree tehsil,rawalpindi
banda, rawalpindi, rawalpindi,,"['Rawalpindi, Punjab, Pakistan', 0.0, 33.5305251, 73.0042091]",dhamial,rawalpindi tehsil,rawalpindi
bangali, lahore city, lahore,,[],Not Found,Not Found,Not Found
bangash colony, rawalpindi, rawalpindi,,"['Pirwadhai, Rawalpindi, Punjab, Pakistan', 0.0, 33.6343246, 73.0389122]",dhoke mangtal,rawalpindi tehsil,rawalpindi
bangla sherien, rahim yar khan, rahim yar khan,,"['Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.4211565, 70.2988744]",rahim yar khan,rahim yar khan,rahim yar khan
bankey cheema, wazirabad, gujranwala,,"['Banke Cheema, Gujranwala, Punjab, Pakistan', 0.0, 32.2890244, 74.090226]",benka cheema,wazirabad,gujranwala
banni, rawalpindi, rawalpindi,,"['Banni, Rawalpindi, Punjab 46000, Pakistan', 0.0, 33.6210452, 73.0645085]",waris khan,rawalpindi tehsil,rawalpindi
banwala, ahmadpur east, bahawalpur,,"['Ahmedpur East, Bahawalpur, Punjab, Pakistan', 0.0, 29.1459, 71.2517835]",mehrabwala,ahmadpur east,bahawalpur
baoowala, faisalabad city, faisalabad,,"['Baoo Wala Park View CHS, Lahore, Punjab, Pakistan', 0.0, 31.5294347, 74.4371745]",cantonment,lahore,lahore
baran, shakargarh, narowal,,"['Baran, Narowal, Punjab, Pakistan', 0.0, 32.3540602, 75.1705897]",kulah,shakargarh,narowal
barasajwar khan, bahawalnagar, bahawalnagar,,"['Bahawalnagar District, Bahawalnagar, Punjab, Pakistan', 0.0, 30.0024888, 73.2411506]",kabootri,minchinabad,bahawalnagar
bariat (chak bawa), depalpur, okara,,"['Chak Bawa, Okara, Punjab, Pakistan', 0.0, 30.4370898, 73.7029158]",nahal mahar,depalpur,okara
barila sharif, gujrat, gujrat,,"['Barilla Sharif, Gujrat, Punjab, Pakistan', 0.0, 32.7507408, 74.39100189999999]",moolgarh,sialkot,sialkot
