,UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape,UC Match with Returned Address in Google API,Tehsil Match,District Match,fuzzyUC,fuzzyTehsil,fuzzyDistrict,Manaual Tehsil,Manaual District,crossMatchTehsil,crossMatchDistrict
1286,golay wali, khushab, khushab,,"['Khushāb, Khushab, Punjab, Pakistan', 0.0, 32.2955365, 72.3488721]",chak no 59/mb,khushab,khushab,False,True,True,0,100,100,khushab,khushab,True,True
1287,goleki, gujrat, gujrat,,"['Goleki, Gujrat, Punjab, Pakistan', 0.0, 32.4587607, 73.9521468]",chopala,gujrat,gujrat,True,True,True,83,100,100,gujrat,gujrat,True,True
1288,gona moor, kamoke, gujranwala,,"['Kāmoke, Gujranwala, Punjab, Pakistan', 0.0, 31.9765147, 74.2220167]",nand pur,gujranwala saddar,gujranwala,False,False,True,33,29,100,kamoke,gujranwala,False,True
1289,gondlanwala, aroop town, gujranwala,,"['Gondlanwala Rd, Gujranwala, Punjab, Pakistan', 0.0, 32.1711562, 74.1746225]",gujranwala c,gujranwala city,gujranwala,True,False,True,91,27,100,gujranwala saddar,gujranwala,False,True
1290,gondlanwala, gujranwala, gujranwala,,"['Gondlanwala Rd, Gujranwala, Punjab, Pakistan', 0.0, 32.1711562, 74.1746225]",gujranwala c,gujranwala city,gujranwala,True,False,True,91,91,100,gujranwala city,gujranwala,True,True
1291,gotanki, daska, sialkot,,"['Daska, Sialkot, Punjab, Pakistan', 0.0, 32.3362936, 74.36751679999999]",akbar,daska,sialkot,False,True,True,40,100,100,daska,sialkot,True,True
1292,goth raza, rahim yar khan, rahim yar khan,,"['Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.4278451, 70.3389224]",amin garh,rahim yar khan,rahim yar khan,False,True,True,33,100,100,rahim yar khan,rahim yar khan,True,True
1293,guf, kahuta, rawalpindi,,"['Guf, Rawalpindi, Punjab, Pakistan', 0.0, 33.4768003, 73.3797113]",None,kahuta tehsil,rawalpindi,True,False,True,67,86,100,kahuta tehsil,rawalpindi,True,True
1294,gujar khan 1, gujar khan, rawalpindi,,"['Gujar Khan, Rawalpindi, Punjab, Pakistan', 0.0, 33.2615676, 73.3057508]",None,gujar khan tehsil,rawalpindi,False,False,True,80,91,100,gujar khan tehsil,rawalpindi,True,True
1295,gujar khan 2, gujar khan, rawalpindi,,"['Gujar Khan, Rawalpindi, Punjab, Pakistan', 0.0, 33.269374, 73.2983606]",None,gujar khan tehsil,rawalpindi,False,False,True,80,91,100,gujar khan tehsil,rawalpindi,True,True
1296,gujar khan 3, gujar khan, rawalpindi,,"['Gujar Khan, Rawalpindi, Punjab, Pakistan', 0.0, 33.2615676, 73.3057508]",None,gujar khan tehsil,rawalpindi,False,False,True,80,91,100,gujar khan tehsil,rawalpindi,True,True
1297,gujar pura, lahore city, lahore,,"['Gujjar Pura China Scheme, Lahore, Punjab 54000, Pakistan', 0.0, 31.5952569, 74.3624129]",gujjar pura,lahore,lahore,False,False,True,80,100,100,lahor,lahore,False,True
