,UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape,UC Match with Returned Address in Google API,Tehsil Match,District Match,fuzzyUC,fuzzyTehsil,fuzzyDistrict,Manaual Tehsil,Manaual District,crossMatchTehsil,crossMatchDistrict
0,10/ah, khanewal, lodhran,,"['Street 10, Khanewal, Punjab, Pakistan', 0.0, 30.2904003, 71.9295776]",khanewal - 2,khanewal,khanewal,False,True,False,40,100,38,khanewal,lodhran,True,False
1,110 10 r, jahanian, khanewal,,"['Chak No.110/10-R, Khanewal, Punjab, Pakistan', 0.0, 30.0541247, 71.8437916]",rahim shah,jehanian,khanewal,False,False,True,62,88,100,jehanian,khanewal,True,True
2,144 10 r, jahanian, khanewal,,"['Jahanian-Khanewal, Chak 171/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2171339, 71.8798542]",70/10-r,khanewal,khanewal,False,False,True,0,53,100,jehanian,khanewal,False,True
3,157 10 r, jahanian, khanewal,,"['Chak 157/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.1391625, 71.8141418]",157/10-r,jehanian,khanewal,False,False,True,75,88,100,jehanian,khanewal,True,True
4,173 10 r, jahanian, khanewal,,"['Chak 173/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2006678, 71.834897]",70/10-r,khanewal,khanewal,False,False,True,75,53,100,jehanian,khanewal,False,True
5,175 10 r, jahanian, khanewal,,"['Jahanian-Khanewal, Chak 171/10 R, Khanewal, Punjab, Pakistan', 0.0, 30.2171339, 71.8798542]",70/10-r,khanewal,khanewal,False,False,True,0,53,100,jehanian,khanewal,False,True
6,33, chishtian, bahawalnagar,,"['Chishtian, Bahawalnagar, Punjab, Pakistan', 0.0, 29.79559739999999, 72.86336349999999]",chishtian ci,chishtian,bahawalnagar,True,True,True,0,100,100,chishtian,bahawalnagar,True,True
7,61/25, gujranwala, gujranwala,,"['Street 25, Y Block Sector Y Peoples Colony, Gujranwala, Punjab, Pakistan', 0.0, 32.1343451, 74.20979129999999]",gujranwala c,gujranwala city,gujranwala,False,False,True,40,91,100,gujranwala city,gujranwala,True,True
8,63/27, gujranwala, gujranwala,,"['Street 27, Block Aa Phase 1 Citi Housing, Gujranwala, Punjab, Pakistan', 0.0, 32.0703676, 74.19138339999999]",attawa,gujranwala saddar,gujranwala,False,False,True,40,91,100,gujranwala city,gujranwala,False,True
9,78, haroonabad, bahawalnagar,,"['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]",chak no. 15/,haroonabad,bahawalnagar,False,True,True,0,100,100,haroonabad,bahawalnagar,True,True
10,79, haroonabad, bahawalnagar,,"['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]",chak no. 15/,haroonabad,bahawalnagar,False,True,True,0,100,100,haroonabad,bahawalnagar,True,True
11,80, haroonabad, bahawalnagar,,"['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]",chak no. 15/,haroonabad,bahawalnagar,False,True,True,0,100,100,haroonabad,bahawalnagar,True,True
12,85/49, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala,False,False,True,0,91,100,gujranwala city,gujranwala,True,True
13,85/49, qila dedar singh town, gujranwala,,"['Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1342879, 74.0153231]",qila didar s,gujranwala saddar,gujranwala,False,False,True,0,41,100,gujrat,gujranwala,False,True
14,86 chak no. 92/15l, mian channu, khanewal,,"['Chak 92/15.L Mein Channun, Vehari, Punjab, Pakistan', 0.0, 30.2718205, 72.32075309999999]",126/15-l,mian channu,khanewal,False,True,True,50,100,100,mian channu,khanewal,True,True
15,87, jhang, jhang,,"['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]",civil station,jhang,jhang,False,True,True,0,100,100,jhang,jhang,True,True
16,89/53, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala,False,False,True,0,91,100,gujranwala city,gujranwala,True,True
17,90, jhang, jhang,,"['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]",civil station,jhang,jhang,False,True,True,0,100,100,jhang,jhang,True,True
18,91/55, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala,False,False,True,0,91,100,gujranwala city,gujranwala,True,True
19,91/55, qila dedar singh town, gujranwala,,"['Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1342879, 74.0153231]",qila didar s,gujranwala saddar,gujranwala,False,False,True,0,41,100,gujrat,gujranwala,False,True
20,93/57, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala,False,False,True,0,91,100,gujranwala city,gujranwala,True,True
21,93/57, aroop town, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala,False,False,True,0,27,100,gujranwala saddar,gujranwala,True,True
22,97, jhang, jhang,,"['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]",civil station,jhang,jhang,False,True,True,0,100,100,jhang,jhang,True,True
23,97/61, aroop town, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala,False,False,True,0,27,100,gujranwala saddar,gujranwala,True,True
24,97/61, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala,False,False,True,0,91,100,gujranwala city,gujranwala,True,True
25,99/63, aroop town, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala,False,False,True,0,27,100,gujranwala saddar,gujranwala,True,True
26,99/63, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala,False,False,True,0,91,100,gujranwala city,gujranwala,True,True
27,abadi ghkhowal, faisalabad city, faisalabad,,"['Faisalabad City, Faisalabad, Punjab, Pakistan', 0.0, 31.33599139999999, 72.94605659999999]",chak no. 78/,faisalabad saddar,faisalabad,False,False,True,36,69,100,faisalabad city,faisalabad,False,True
28,abas pur, multan saddar, multan,,"['Multan Saddar, Multan, Punjab, Pakistan', 0.0, 30.1712026, 71.6198686]",kothiwala,multan saddar,multan,False,True,True,38,100,100,multan saddar,multan,True,True
29,abbas colony, multan city, multan,,"['Railway Rd, Lakkar Mandi Chowk, Hassan Parwana Colony, Multan, Punjab, Pakistan', 0.0, 30.18620689999999, 71.45774279999999]",unknown_1,multan city,multan,False,True,True,30,100,100,multan city,multan,True,True
30,abbas pura, multan city, multan,,"['Abbas Pura Rangilpur, Multan, Punjab, Pakistan', 0.0, 30.1608484, 71.4583911]",rangeel pur,multan city,multan,True,True,True,80,100,100,multan city,multan,True,True
31,abdulla pura, faisalabad city, faisalabad,,"['Hussania Rd, Faisalabad, Punjab, Pakistan', 0.0, 31.452645, 73.0578221]",chak no. 195,faisalabad saddar,faisalabad,False,False,True,29,69,100,faisalabad city,faisalabad,False,True
32,abid abad, nowshera virkan, gujranwala,,"['Gdhanwala Rd, Gujranwala, Punjab, Pakistan', 0.0, 31.9359712, 73.9228747]",randir,naushera virkan,gujranwala,False,False,True,44,87,100,naushera virkan,gujranwala,True,True
33,abid colony, multan city, multan,,"['Abid St, Multan, Punjab, Pakistan', 0.0, 30.1919126, 71.4484003]",rangeel pur,multan city,multan,False,True,True,57,100,100,multan city,multan,True,True
34,abubakar sadiq colony, lahore city, lahore,,"['Sadiq Colony, Garhi Shahu, Lahore, Punjab, Pakistan', 0.0, 31.5607546, 74.3460394]",zaman park,lahore,lahore,False,False,True,83,100,100,lahor,lahore,False,True
35,achra, samanabad town, lahore,,"['Ichra, Lahore, Punjab 54000, Pakistan', 0.0, 31.53508619999999, 74.3206208]",rehman pura,lahore,lahore,False,False,True,80,17,100,lahore,lahore,True,True
36,achra, lahore city, lahore,,"['Ichra, Lahore, Punjab 54000, Pakistan', 0.0, 31.53508619999999, 74.3206208]",rehman pura,lahore,lahore,False,False,True,80,100,100,lahor,lahore,False,True
37,adlana, bhawana, chiniot,,"['Adlana, Jhang, Punjab, Pakistan', 0.0, 31.5827867, 72.77620990000001]",sumandar,bhawana,chiniot,True,True,True,83,100,100,bhawana,chiniot,True,True
38,ado rai, gujranwala, gujranwala,,"['Rai, Kasur, Punjab, Pakistan', 0.0, 31.3204967, 74.48260239999999]",daftoha,kasur,kasur,False,False,False,67,20,20,gujranwala city,gujranwala,False,False
39,ado rai, khiali shah pur town, gujranwala,,"['Khiali Shahpura Gujranwala, Punjab, Pakistan', 0.0, 32.1198772, 74.172438]",talwandi rah,gujranwala saddar,gujranwala,False,False,True,43,35,100,gujranwala saddar,gujranwala,True,True
40,afandi colony, rawalpindi, rawalpindi,,"['Affandi Colony Sadiqabad, Rawalpindi, Punjab, Pakistan', 0.0, 33.6314721, 73.0807402]",None,rawalpindi tehsil,rawalpindi,False,False,True,85,91,100,rawalpindi tehsil,rawalpindi,True,True
41,agogi, sialkot, sialkot,,"['Sialkot, Punjab, Pakistan', 0.0, 32.4944991, 74.5228916]",hundal,sialkot,sialkot,False,True,True,40,100,100,sialkot,sialkot,True,True
42,ahmad raza colony, mailsi, vehari,,"['Ahmad Raza Colony Mailsi, Vehari, Punjab, Pakistan', 0.0, 29.8150517, 72.166048]",muhammad sha,mailsi,vehari,True,True,True,82,100,100,mailsi,vehari,True,True
43,ahmed pur 4, ahmadpur east, bahawalpur,,"['Ahmedpur - Derawar Fort Rd, Ahmedpur East, Bahawalpur, Punjab, Pakistan', 0.0, 29.1227467, 71.2680049]",mehrabwala,ahmadpur east,bahawalpur,False,True,True,73,100,100,ahmadpur east,bahawalpur,True,True
44,ahmed pur lamma 7- g, sadiqabad, rahim yar khan,,"['Ahmedpur Lamma, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.3158505, 70.0532913]",ahmad pur lamma,sadiqabad,rahim yar khan,False,True,True,86,100,100,sadiqabad,rahim yar khan,True,True
45,aiman abad town, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala,False,False,True,40,91,100,gujranwala city,gujranwala,True,True
46,aiman abad town, khiali shah pur town, gujranwala,,"['Khiali Shahpura Gujranwala, Punjab, Pakistan', 0.0, 32.1198772, 74.172438]",talwandi rah,gujranwala saddar,gujranwala,False,False,True,40,35,100,gujranwala saddar,gujranwala,True,True
47,akbar ghanoke, kamoke, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 31.8486335, 74.10625929999999]",ghanoke akbi,kamoke,gujranwala,False,True,True,32,100,100,kamoke,gujranwala,True,True
48,akhtar abad, multan city, multan,,[],Not Found,Not Found,Not Found,False,False,False,-1,22,43,multan city,multan,False,False
49,alhamra, gulberg town, lahore,,"['68 Mall Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan', 0.0, 31.5606026, 74.3228693]",race course,lahore,lahore,False,False,True,31,33,100,gulbarg town,lahore,False,True
50,alhamra, lahore city, lahore,,"['68 Mall Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan', 0.0, 31.5606026, 74.3228693]",race course,lahore,lahore,False,False,True,31,100,100,lahor,lahore,False,True
51,ali   pur syedan, bhalwal, sargodha,,"['Alipur Syedan, Sargodha, Punjab, Pakistan', 0.0, 32.4678797, 72.8973302]",hazur pur,bhalwal,sargodha,False,True,True,69,100,100,bhalwal,sargodha,True,True
52,ali raza abad uc, allam iqbal town, lahore,,"['Sector D1 Block 3 Twp Sector D 1 Township, Lahore, Punjab, Pakistan', 0.0, 31.4386422, 74.3097914]",keer kalan,lahore,lahore,False,False,True,31,33,100,lahore,lahore,True,True
53,ali raza abad uc, allama iqbal town, lahore,,"['Hassanabad, Lahore, Punjab, Pakistan', 0.0, 31.4339044, 74.2334326]",ali raza abad,lahore,lahore,False,False,True,60,33,100,lahore,lahore,True,True
54,allama iqbal colony, rawalpindi, rawalpindi,,"['Allama Iqbal Colony Rawalpindi, Punjab 46000, Pakistan', 0.0, 33.5884147, 73.0183895]",None,rawalpindi tehsil,rawalpindi,True,False,True,84,91,100,rawalpindi tehsil,rawalpindi,True,True
55,allama iqbal colony , faisalabad city, faisalabad,,"['Allama Iqbal Colony, Faisalabad, Punjab, Pakistan', 0.0, 31.3861285, 73.0803713]",faisalabad c,faisalabad city,faisalabad,True,True,True,84,100,100,faisalabad city,faisalabad,True,True
56,allama iqbal colony block e, faisalabad city, faisalabad,,"['Tech Town Block E, Faisalabad, Punjab, Pakistan', 0.0, 31.37426829999999, 73.1235274]",faisalabad c,faisalabad city,faisalabad,False,True,True,53,100,100,faisalabad city,faisalabad,True,True
57,allama iqbal colony block w, faisalabad city, faisalabad,,"['Allama Iqbal Colony, Faisalabad, Punjab, Pakistan', 0.0, 31.3861285, 73.0803713]",faisalabad c,faisalabad city,faisalabad,False,True,True,84,100,100,faisalabad city,faisalabad,True,True
58,aman gharh, rahim yar khan, rahim yar khan,,"['Aman Garh, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.3840873, 70.3673152]",chak no 84/p,rahim yar khan,rahim yar khan,False,True,True,78,100,100,rahim yar khan,rahim yar khan,True,True
59,amarpura, rawalpindi, rawalpindi,,"['Amarpura, Street No. 10, Amirpura Mohalla, Rawalpindi, Punjab 46000, Pakistan', 0.0, 33.6212659, 73.0692533]",waris khan,rawalpindi tehsil,rawalpindi,True,False,True,88,91,100,rawalpindi tehsil,rawalpindi,True,True
60,ameer pur saddat, kahror pacca, lodhran,,"['Ameerpur Sadat, Lodhran, Punjab, Pakistan', 0.0, 29.6600993, 71.8386031]",bahawal garh,kehror pacca,lodhran,False,False,True,79,92,100,kehror pacca,lodhran,True,True
61,amien abad, liaquat pur, rahim yar khan,,"['Aminabad, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.939037, 70.802168]",nala musani,liaquat pur,rahim yar khan,False,True,True,75,100,100,liaquat pur,rahim yar khan,True,True
62,amin park, data gb town, lahore,,"['Amin Park, Lahore, Punjab, Pakistan', 0.0, 31.5854214, 74.29495419999999]",ganj kalan,lahore,lahore,True,False,True,78,17,100,lahore,lahore,True,True
63,amin park, faisalabad city, faisalabad,,"['Ameen Park, Faisalabad, Punjab, Pakistan', 0.0, 31.3825783, 73.1002905]",faisalabad c,faisalabad city,faisalabad,False,True,True,67,100,100,faisalabad city,faisalabad,True,True
64,amin park, lahore city, lahore,,"['Ameen Park Lahore, Punjab, Pakistan', 0.0, 31.5868119, 74.29495419999999]",ganj kalan,lahore,lahore,False,False,True,67,100,100,lahor,lahore,False,True
65,amin town, faisalabad city, faisalabad,,"['Amin Town, Faisalabad, Punjab, Pakistan', 0.0, 31.44243729999999, 73.1275844]",chak no. 202,faisalabad saddar,faisalabad,True,False,True,78,69,100,faisalabad city,faisalabad,False,True
66,anayat pur, jalalpur pirwala, multan,,"['Jalalpur Pirwala, Multan, Punjab, Pakistan', 0.0, 29.5164597, 71.2220832]",darab pur,jalalpur pirwala,multan,False,True,True,50,100,100,jalalpur pirwala,multan,True,True
67,anayati, khairpur tamewali, bahawalpur,,"['Khairpur Tamewali, Bahawalpur, Punjab, Pakistan', 0.0, 29.5745263, 72.224535]",bheli,khairpur tamewali,bahawalpur,False,True,True,43,100,100,khairpur tamewali,bahawalpur,True,True
68,andron dehli gate, lahore city, lahore,,"['Inside Delhi Gate،, Akbari Mandi Walled City, Lahore, Punjab 54000, Pakistan', 0.0, 31.5821852, 74.3264356]",sare sultan,lahore,lahore,False,False,True,59,100,100,lahor,lahore,False,True
69,andron taksali gate, lahore city, lahore,,"['Qadimi Shehr, Lahore, Punjab, Pakistan', 0.0, 31.5860252, 74.3075886]",bilal ganj,lahore,lahore,False,False,True,33,100,100,lahor,lahore,False,True
70,andron taksali gate, ravi town, lahore,,"['Shop No. 295-A, Ground Floor, Taksali Chowk, Ravi Rd, Daata Ganj Bakhsh Town, Lahore, Punjab 54000, Pakistan', 0.0, 31.5855663, 74.3066063]",bilal ganj,lahore,lahore,False,False,True,21,17,100,lahore,lahore,True,True
71,androon bhaati gate uc, ravi town, lahore,,"['Qadimi Shehr Kucha Faqirkhana Walled City, Lahore, Punjab 54000, Pakistan', 0.0, 31.5790041, 74.30891129999999]",anarkali,lahore,lahore,False,False,True,41,17,100,lahore,lahore,True,True
72,androon bhatti gate uc, ravi town, lahore,,"['Qadimi Shehr Kucha Faqirkhana Walled City, Lahore, Punjab 54000, Pakistan', 0.0, 31.5790041, 74.30891129999999]",anarkali,lahore,lahore,False,False,True,36,17,100,lahore,lahore,True,True
73,androon dehli gate uc, ravi town, lahore,,"['Inside Delhi Gate،, Akbari Mandi Walled City, Lahore, Punjab 54000, Pakistan', 0.0, 31.5821852, 74.3264356]",sare sultan,lahore,lahore,False,False,True,56,17,100,lahore,lahore,True,True
74,angori, murree, rawalpindi,,"['Angoori, Rawalpindi, Punjab, Pakistan', 0.0, 33.79899109999999, 73.3502377]",None,murree tehsil,rawalpindi,False,False,True,83,86,100,murree tehsil,rawalpindi,True,True
75,annar kali, lahore city, lahore,,"['Anarkali, Lahore, Punjab 54000, Pakistan', 0.0, 31.5713592, 74.3103546]",anarkali,lahore,lahore,False,False,True,88,100,100,lahor,lahore,False,True
76,arain wahan, mailsi, vehari,,[],Not Found,Not Found,Not Found,False,False,False,-1,14,14,mailsi,vehari,False,False
77,ariari, kotli sattian, rawalpindi,,"['Ariari, Rawalpindi, Punjab, Pakistan', 0.0, 33.7669278, 73.4327538]",None,kotli sattian tehsil,rawalpindi,True,False,True,83,93,100,kotli sattian tehsil,rawalpindi,True,True
78,arif wala eb/147, arif wala, pakpattan,,"['147 EB Rd, Chak No 46 EB Arifwala, Pakpattan, Punjab, Pakistan', 0.0, 30.35941829999999, 72.95578119999999]",66/eb,arifwala,pakpattan,False,False,True,33,88,100,arifwala,pakpattan,True,True
79,arup, aroop town, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala,False,False,True,50,27,100,gujranwala saddar,gujranwala,True,True
80,arup, gujranwala, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala,False,False,True,50,91,100,gujranwala city,gujranwala,False,True
81,asghar mal scheem, rawalpindi, rawalpindi,,"['Asghar Mall Scheme, Rawalpindi, Punjab, Pakistan', 0.0, 33.6299536, 73.06266389999999]",None,rawalpindi tehsil,rawalpindi,False,False,True,76,91,100,rawalpindi tehsil,rawalpindi,True,True
82,ashirkay, sheikhupura, sheikhupura,,"['Sheikhupura, Punjab, Pakistan', 0.0, 31.7166617, 73.98502429999999]",sheikhupura,sheikhupura,sheikhupura,False,True,True,38,100,100,sheikhupura,sheikhupura,True,True
83,ashraf colony, multan city, multan,,"['Ashraf Colony, Multan, Punjab, Pakistan', 0.0, 30.2091928, 71.5097057]",taraf mubarik doim,multan city,multan,True,True,True,85,100,100,multan city,multan,True,True
84,ashraf pura, faisalabad city, faisalabad,,"['Mansoorabad, Faisalabad, Punjab, Pakistan', 0.0, 31.4379565, 73.1140489]",chak no. 197,faisalabad saddar,faisalabad,False,False,True,48,69,100,faisalabad city,faisalabad,False,True
85,athara hazari, jhang, jhang,,"['Athara Hazari, Jhang, Punjab, Pakistan', 0.0, 31.1647774, 72.09718099999999]",rashidpur,jhang,jhang,True,True,True,85,100,100,jhang,jhang,True,True
86,attock cantt, attock, attock,,"['Attock, Punjab, Pakistan', 0.0, 33.7659684, 72.3608754]",akhori,attock,attock,False,True,True,83,100,100,attock,attock,True,True
87,aurarah, kasur, kasur,,"['Kasur, Punjab, Pakistan', 0.0, 31.1178653, 74.4408385]",maan,kasur,kasur,False,True,True,40,100,100,kasur,kasur,True,True
88,awan chak no.39, pattoki, kasur,,"['Chak No. 39 NB, Sargodha, Punjab, Pakistan', 0.0, 32.1208965, 72.70158789999999]",mari,sargodha,sargodha,False,False,False,67,25,17,pattoki,kasur,False,False
89,awan town uc, allam iqbal town, lahore,,"['Karim Block Allama Iqbal Town, Lahore, Punjab, Pakistan', 0.0, 31.5041144, 74.2766899]",sikandar block,lahore,lahore,False,False,True,50,33,100,lahore,lahore,True,True
90,awan town uc, allama iqbal town, lahore,,"['Karim Block Allama Iqbal Town, Lahore, Punjab, Pakistan', 0.0, 31.5041144, 74.2766899]",sikandar block,lahore,lahore,False,False,True,50,33,100,lahore,lahore,True,True
91,ayaz abad middle, multan saddar, multan,,"['Multan Saddar, Multan, Punjab, Pakistan', 0.0, 30.1712026, 71.6198686]",kothiwala,multan saddar,multan,False,True,True,31,100,100,multan saddar,multan,True,True
92,ayub research, faisalabad city, faisalabad,,"['Jhang Rd, Faisalabad, Punjab, Pakistan', 0.0, 31.4040892, 73.048723]",faisalabad c,faisalabad city,faisalabad,False,True,True,12,100,100,faisalabad city,faisalabad,True,True
93,aziz bhatti town, lahore cantt, lahore,,"['Aziz Bhatti Town, Lahore, Punjab, Pakistan', 0.0, 31.5538618, 74.4259228]",guldasht colony,lahore,lahore,True,False,True,81,100,100,lahore,lahore,True,True
94,babalyana autar, kot radha kishen, kasur,,"['Pattoki - Raiwind Rd, Kot Radha Kishan, Kasur, Punjab, Pakistan', 0.0, 31.159034, 74.08769900000001]",zafar kay,kasur,kasur,False,False,True,20,40,100,kasur,kasur,True,True
95,babalyana autar, kasur, kasur,,"['Raiwind, Kasur, Punjab, Pakistan', 0.0, 31.2253984, 74.19754859999999]",beron raja j,kasur,kasur,False,True,True,29,100,100,kasur,kasur,True,True
96,badala, faisalabad sadar, faisalabad,,"['Faisalabad Saddar, Faisalabad, Punjab, Pakistan', 0.0, 31.4249914, 73.111356]",faisalabad c,faisalabad city,faisalabad,False,False,True,67,73,100,faisalabad saddar,faisalabad,False,True
97,badhala sant, multan city, multan,,"['Budhla Sant Road, Multan, Punjab, Pakistan', 0.0, 30.1766348, 71.6107864]",kothiwala,multan saddar,multan,False,False,True,67,58,100,multan city,multan,False,True
98,badhala sant, multan saddar, multan,,"['Budhla Sant, Multan, Punjab, Pakistan', 0.0, 30.1537922, 71.7118291]",multani wala,multan saddar,multan,False,True,True,73,100,100,multan saddar,multan,True,True
99,badhar, tala gang, chakwal,,"['Talagang, Chakwal, Punjab, Pakistan', 0.0, 32.917193, 72.40806049999999]",talagang cit,talagang,chakwal,False,False,True,33,88,100,talagang,chakwal,True,True
100,bado malhe, narowal, narowal,,"['Baddomalhi, Narowal, Punjab, Pakistan', 0.0, 31.98684909999999, 74.6693186]",bhenian,narowal,narowal,False,True,True,70,100,100,narowal,narowal,True,True
101,badoke, daska, sialkot,,"['Baddoke, Sialkot, Punjab, Pakistan', 0.0, 32.4186723, 74.39759880000001]",daska - 2,daska,sialkot,False,True,True,83,100,100,daska,sialkot,True,True
102,badoke, sambrial, sialkot,,"['Baddoke, Sialkot, Punjab, Pakistan', 0.0, 32.4186723, 74.39759880000001]",daska - 2,daska,sialkot,False,False,True,83,40,100,gujranwala saddar,sialkot,False,True
103,badorta, nowshera virkan, gujranwala,,"['Badorta Rd, Nowshera Virkan, Gujranwala, Punjab 52370, Pakistan', 0.0, 31.9612634, 73.97607130000002]",kartar pur m,naushera virkan,gujranwala,True,False,True,86,87,100,naushera virkan,gujranwala,True,True
104,badshahan, chakwal, chakwal,,"['Chakwal, Punjab, Pakistan', 0.0, 32.9327882, 72.8629576]",dab,chakwal,chakwal,False,True,True,46,100,100,chakwal,chakwal,True,True
105,baga sheikhan, rawalpindi, rawalpindi,,"['Islamabad, Rawalpindi, Islamabad Capital Territory, Pakistan', 0.0, 33.4687736, 73.1866838]",None,rawalpindi tehsil,rawalpindi,False,False,True,22,91,100,rawalpindi tehsil,rawalpindi,True,True
106,bagh dewan, multan city, multan,,"['Lodhi Colony, Multan, Punjab, Pakistan', 0.0, 30.2247608, 71.46710519999999]",neelkot,multan city,multan,False,True,True,30,100,100,multan city,multan,True,True
107,baghban pura, lahore city, lahore,,"['Baghbanpura, Lahore, Punjab 54000, Pakistan', 0.0, 31.5849905, 74.3748754]",crown park,lahore,lahore,False,False,True,91,100,100,lahor,lahore,False,True
108,baghban pura, shalimar town, lahore,,"['GT Rd, Shalimar Chowk, Baghbanpura, Lahore, Punjab 54000, Pakistan', 0.0, 31.5836406, 74.38177689999999]",angori bagh,lahore,lahore,False,False,True,20,50,100,lahore,lahore,True,True
109,baghban puura 53, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala,False,False,True,30,91,100,gujranwala city,gujranwala,True,True
110,baghyana kalan, pattoki, kasur,,"['Baghyana Kalan, Phool Nagar, Kasur, Punjab, Pakistan', 0.0, 31.182421, 73.9976946]",bhaghana kal,pattoki,kasur,True,True,True,86,100,100,pattoki,kasur,True,True
111,bahawal pur house, lahore city, lahore,,"['G.O.R. - II New Mazang, Lahore, Punjab 54000, Pakistan', 0.0, 31.5459018, 74.31255449999999]",samanabad,lahore,lahore,False,False,True,18,100,100,lahor,lahore,False,True
112,bahawalpur cantt, bahawalpur, bahawalpur,,"['Bahawalpur Cantt, Bahawalpur, Punjab, Pakistan', 0.0, 29.3703229, 71.68513349999999]",chak no 012/bc,bahawalpur,bahawalpur,True,True,True,88,100,100,bahawalpur,bahawalpur,True,True
113,bahawalpur city 1, bahawalpur, bahawalpur,,"['Street 1, Faisal Bagh Town, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.4084186, 71.68609889999999]",khanu wali,bahawalpur,bahawalpur,False,True,True,50,100,100,bahawalpur,bahawalpur,True,True
114,bahawalpur city 10, bahawalpur, bahawalpur,,"['Bahawalpur Yazman Rd, Bahawalpur Cantt, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.3754635, 71.6922625]",chak no 012/bc,bahawalpur,bahawalpur,False,True,True,61,100,100,bahawalpur,bahawalpur,True,True
115,bahawalpur city 11, bahawalpur, bahawalpur,,"['Old City Bahawalpur, Bahawalpur, Punjab, Pakistan', 0.0, 29.3924304, 71.6693749]",raman,bahawalpur,bahawalpur,False,True,True,64,100,100,bahawalpur,bahawalpur,True,True
116,bahawalpur city 12, bahawalpur, bahawalpur,,"['12-A Younus Shaheed Rd, Model Town, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.3855555, 71.6588529]",raman,bahawalpur,bahawalpur,False,True,True,17,100,100,bahawalpur,bahawalpur,True,True
117,bahawalpur city 13, bahawalpur, bahawalpur,,"['13-A, Main Rd Model Town C Rd Bahawalpur, Model Town C, Bahawalpur, Punjab 63100, Pakistan', 0.0, 29.4062266, 71.6685625]",khanu wali,bahawalpur,bahawalpur,False,True,True,50,100,100,bahawalpur,bahawalpur,True,True
118,bahawalpur city 14, bahawalpur, bahawalpur,,"['35 Ghaznavi Road, Model Town, Bahawalpur, Punjab, Pakistan', 0.0, 29.3935227, 71.66335169999999]",raman,bahawalpur,bahawalpur,False,True,True,31,100,100,bahawalpur,bahawalpur,True,True
